"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251010","3197.59","-60.18","-1.85","3257.77","604360031396852","-11375575228034","615735606624885","36145934892156","18900505830918","1672","269544230723"
"0002","大型","20251010","3156.85","-57.4","-1.79","3214.25","404606181907949","-7356283281668","411962465189617","400600180106880","12816765083027","101","178675931779"
"0003","中型","20251010","3388.67","-67.35","-1.95","3456.02","154559929526822","-3071602110795","157631531637616","39030285234046","4561077174001","396","63657585664"
"0004","小型","20251010","5314.44","-111.45","-2.05","5425.89","45193919962081","-947689835571","46141609797652","3846291060603","850397757432","1175","27210713280"
"0028","TOPIX Core30","20251010","1689.52","-34.27","-1.99","1723.79","253177397752337","-5135034294901","258312432047237","816701283072053","149851411965555","31","120371397674"
"0029","TOPIX Large70","20251010","3132.67","-45.95","-1.45","3178.62","151428784155613","-2221248986767","153650033142379","216326834508018","48338545355092","70","58304534105"
"002A","TOPIX 100","20251010","2189.82","-39.81","-1.79","2229.63","404606181907949","-7356283281668","411962465189617","400600180106880","184766832304672","101","178675931779"
"002B","TOPIX Mid400","20251010","3220.39","-64","-1.95","3284.39","154559929526822","-3071602110795","157631531637616","39030285234046","47994192391565","396","63657585664"
"002C","TOPIX 500","20251010","2499.9","-46.62","-1.83","2546.52","559166111434771","-10427885392462","569593996827233","112508271918465","223675432947459","497","242333517443"
"002D","TOPIX Small","20251010","3599.83","-75.49","-2.05","3675.32","45193919962081","-947689835571","46141609797652","3846291060603","12554445287015","1175","27210713280"
"002E","TOPIX 1000","20251010","3027.27","-56.85","-1.84","3084.12","590998718956181","-11099645487642","602098364443823","60121944959937","195225097217155","983","258735850495"
"002F","TOPIX Small500","20251010","1591.35","-33.58","-2.07","1624.93","31832607521410","-671760095180","32504367616590","6549919243088","20003506850016","486","16402333052"
"0040","水産・農林業","20251010","654.62","-8.39","-1.27","663.01","472273477894","-6049412929","478322890822","6746763969912","72144179910","7","283774267"
"0041","鉱業","20251010","779.04","-33.84","-4.16","812.88","1918417922548","-83323807687","2001741730235","38368358450956","246252979781","5","801982438"
"0042","建設業","20251010","2255.98","-50.88","-2.21","2306.86","13879397103589","-313062490076","14192459593664","18505862804785","615227896833","75","4935858550"
"0043","食料品","20251010","2375.75","-4.25","-0.18","2380","17044884889977","-30502421250","17075387311227","24006880126728","717451813771","71","5827115271"
"0044","繊維製品","20251010","804.8","-15.54","-1.89","820.34","2124563222687","-41035342446","2165598565132","10622816113433","263987682595","20","1576013673"
"0045","パルプ・紙","20251010","563.64","-8.67","-1.51","572.31","804497294251","-12375402828","816872697079","10056216178139","142732615529","8","895847100"
"0046","化学","20251010","2538.14","-70.87","-2.72","2609.01","28301742755069","-790215577238","29091958332306","23009546955340","11150575961582","123","11879838528"
"0047","医薬品","20251010","3619.01","-73.35","-1.99","3692.36","22438727357395","-454782488375","22893509845770","67996143507257","6200230974168","33","6470047985"
"0048","石油・石炭製品","20251010","2070.87","-83.93","-3.9","2154.8","2836339528704","-114957513747","2951297042451","40519136124340","136963894279","7","2884980717"
"0049","ゴム製品","20251010","5247.16","-133.66","-2.48","5380.82","3976279532178","-101292210741","4077571742920","36147995747074","75779681012","11","802488348"
"004A","ガラス・土石製品","20251010","1578.61","-28.91","-1.8","1607.52","3873553978426","-70936040755","3944490019181","15494215913704","245377929501","25","1082474561"
"004B","鉄鋼","20251010","717.37","-27.11","-3.64","744.48","4398305370341","-166169022526","4564474392866","19123066827569","613112601065","23","4812662092"
"004C","非鉄金属","20251010","2959.97","-72.6","-2.39","3032.57","8342909737426","-204624716122","8547534453548","41714548687131","281857637650","20","1680075066"
"004D","金属製品","20251010","1620.02","-41.1","-2.47","1661.12","2870855440067","-72842467314","2943697907381","9569518133557","177211543000","30","1261679859"
"004E","機械","20251010","4151.87","-104.31","-2.45","4256.18","37626017072164","-945279512654","38571296584818","32158988950568","906241882606","117","9311055839"
"004F","電気機器","20251010","5916.15","-127.61","-2.11","6043.76","112015792057450","-2416110843836","114431902901286","85508238211794","1893388458534","131","27146943404"
"0050","輸送用機器","20251010","4658.72","-81.59","-1.72","4740.31","41142136758567","-720540884148","41862677642716","95679387810621","883121211520","43","18297963755"
"0051","精密機器","20251010","12257.33","-204.1","-1.64","12461.43","12137515167149","-202099663168","12339614830318","43348268454105","99022480698","28","3188378916"
"0052","その他製品","20251010","7262.62","-152.95","-2.06","7415.57","17515949691717","-368867457985","17884817149701","43789874229292","241179355439","40","3418272854"
"0053","電気・ガス業","20251010","597.81","-16.33","-2.66","614.14","7892235972650","-215596957062","8107832929712","34314069446306","1320198797284","23","4455895893"
"0054","陸運業","20251010","2274.22","-19.71","-0.86","2293.93","14214106524279","-123155398054","14337261922333","38416504119672","625009660253","37","4993257598"
"0055","海運業","20251010","1696.37","-12.6","-0.74","1708.97","3107971298974","-23083534489","3131054833463","51799521649562","183213066596","6","876432921"
"0056","空運業","20251010","230.24","-0.91","-0.39","231.15","1902238462076","-7571646774","1909810108850","95111923103775","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20251010","4154.64","-39.6","-0.94","4194.24","834248158250","-7951825286","842199983536","7584074165909","20079926283","11","357556739"
"0058","情報・通信業","20251010","7924.94","-138.14","-1.71","8063.08","49820179225223","-868440894854","50688620120077","28306920014331","628650522872","176","71873383548"
"0059","卸売業","20251010","4550.69","-62.99","-1.37","4613.68","43994226570830","-608951176095","44603177746925","34104051605295","9667602499445","129","11383228456"
