"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250620","2771.26","-20.82","-0.75","2792.08","525968241148026","-3951985269345","529920226417371","31233268476724","18979403947024","1684","256828098772"
"0002","大型","20250620","2708","-23.91","-0.88","2731.91","347688325832991","-3069536857297","350757862690288","347688325832991","12839282799106","100","169915238487"
"0003","中型","20250620","2996.36","-16.93","-0.56","3013.29","137829332236366","-778544506689","138607876743055","34630485486524","4599887552975","398","60701120805"
"0004","小型","20250620","4710.12","-12.1","-0.26","4722.22","40450583078669","-103903905359","40554486984028","3410673109500","858801566168","1186","26211739480"
"0028","TOPIX Core30","20250620","1437.31","-15.62","-1.08","1452.93","215714612008655","-2344246670821","218058858679476","719048706695517","150082049694065","30","115834730468"
"0029","TOPIX Large70","20250620","2724.39","-14.97","-0.55","2739.36","131973713824336","-725290186476","132699004010812","188533876891909","48441569096509","70","54080508018"
"002A","TOPIX 100","20250620","1878.47","-16.58","-0.87","1895.05","347688325832991","-3069536857297","350757862690288","347688325832991","185091448309068","100","169915238487"
"002B","TOPIX Mid400","20250620","2847.56","-16.09","-0.56","2863.65","137829332236366","-778544506689","138607876743055","34630485486524","48402576798198","398","60701120805"
"002C","TOPIX 500","20250620","2162.63","-17.14","-0.79","2179.77","485517658069357","-3848081363986","489365739433343","97493505636417","224503279319721","498","230616359292"
"002D","TOPIX Small","20250620","3190.48","-8.2","-0.26","3198.68","40450583078669","-103903905359","40554486984028","3410673109500","12678510944594","1186","26211739480"
"002E","TOPIX 1000","20250620","2622.07","-20","-0.76","2642.07","513863563760177","-3918968209596","517782531969773","52010482161961","195976210582360","988","246131366308"
"002F","TOPIX Small500","20250620","1408.04","-3.52","-0.25","1411.56","28345905690820","-70886845610","28416792536430","5784878712412","20131519961604","490","15515007016"
"0040","水産・農林業","20250620","572.84","-8.59","-1.48","581.43","414899964707","-6224483236","421124447943","5927142352952","72429180909","7","284274267"
"0041","鉱業","20250620","624.96","-9.63","-1.52","634.59","1405832641766","-21661324559","1427493966325","28116652835318","224947461393","5","708957286"
"0042","建設業","20250620","1960.39","-10.63","-0.54","1971.02","12112662873178","-65695680748","12178358553926","15937714306813","617869877640","76","4618133977"
"0043","食料品","20250620","2265.16","-15.16","-0.66","2280.32","16232906926456","-108677130103","16341584056559","22863249192192","716634438189","71","5809686462"
"0044","繊維製品","20250620","765.17","-0.26","-0.03","765.43","2089083125599","-704374329","2089787499928","9948014883805","273020828908","21","1587553548"
"0045","パルプ・紙","20250620","516.47","5.8","1.14","510.67","740411848980","8319014376","732092834603","9255148112245","143359382066","8","865932100"
"0046","化学","20250620","2263.62","-4.28","-0.19","2267.9","25109259505439","-47423955671","25156683461109","20414032118243","11092522199399","123","11680962015"
"0047","医薬品","20250620","3310.44","-18.26","-0.55","3328.7","20852682341690","-115055555776","20967737897466","61331418652029","6299071100040","34","6534355079"
"0048","石油・石炭製品","20250620","1695.42","-10.81","-0.63","1706.23","2338696487124","-14902493442","2353598980566","33409949816061","137941815950","7","2846636737"
"0049","ゴム製品","20250620","4420.02","-48.59","-1.09","4468.61","3275169595986","-36004219233","3311173815219","29774269054421","74098559339","11","774651905"
"004A","ガラス・土石製品","20250620","1333.8","-8","-0.6","1341.8","3253620911392","-19509735560","3273130646951","13014483645566","243935867625","25","1068899404"
"004B","鉄鋼","20250620","648.25","-7.55","-1.15","655.8","3976291092733","-46310747002","4022601839735","17288222142318","613387830768","23","1841719334"
"004C","非鉄金属","20250620","1660.57","-14.83","-0.89","1675.4","4677452340288","-41762979294","4719215319582","23387261701439","281677454840","20","1622851567"
"004D","金属製品","20250620","1441.28","-7.86","-0.54","1449.14","2567762036668","-13996092047","2581758128715","8559206788892","178158283595","30","1264678563"
"004E","機械","20250620","3468.42","-27.63","-0.79","3496.05","31525786048662","-251159609268","31776945657930","26945116280908","908937843408","117","8659719631"
"004F","電気機器","20250620","4847.63","-34.91","-0.71","4882.54","92362686102357","-665167700103","93027853802459","69971731895725","1905316418376","132","26983173094"
"0050","輸送用機器","20250620","4103.73","-35.93","-0.87","4139.66","36218193664684","-317130859598","36535324524281","82314076510644","882567660826","44","18233946187"
"0051","精密機器","20250620","10740.38","-42.24","-0.39","10782.62","10831157816663","-42604726953","10873762543616","40115399320975","100845242137","27","3173232330"
"0052","その他製品","20250620","7171.79","-207.97","-2.82","7379.76","17190501149499","-498516897458","17689018046957","42976252873748","239696260580","40","3136838393"
"0053","電気・ガス業","20250620","491.16","-5.3","-1.07","496.46","6553240398030","-70751214884","6623991612914","28492349556653","1334234270212","23","4471503138"
"0054","陸運業","20250620","2044.23","-11.21","-0.55","2055.44","12788944804350","-70144825838","12859089630188","34564715687431","625612460279","37","4997395693"
"0055","海運業","20250620","1759.24","5","0.29","1754.24","3305386472045","9387211181","3295999260864","55089774534086","187887599076","6","892558311"
"0056","空運業","20250620","225.87","-1.85","-0.81","227.72","1866173941395","-15249024975","1881422966370","93308697069750","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250620","3977.62","-6.88","-0.17","3984.5","887007312584","-1533443016","888540755600","6823133173721","22299923558","13","354066344"
"0058","情報・通信業","20250620","6632.15","-38.06","-0.57","6670.21","42846620991456","-245892091852","43092513083308","24344671017873","646043845708","176","71924395933"
"0059","卸売業","20250620","3764.64","-24.17","-0.64","3788.81","36464241294369","-234119263739","36698360558108","28049416380284","9685977221297","130","11392006855"
"005A","小売業","20250620","2038.97","-16.29","-0.79","2055.26","25767300935508","-205779646788","25973080582296","17528776146604","12637387775377","147","8004694675"
"005B","銀行業","20250620","381.29","-0.9","-0.24","382.19","46960638428940","-110447951922","47071086380861","69059762395499","123161021001002","68","22261754805"
"005C","証券、商品先物取引業","20250620","612.94","-7.67","-1.24","620.61","4655345468600","-58315739694","4713661208294","25863030381111","7595152036485","18","4150635672"
"005D","保険業","20250620","2724.51","-48.08","-1.73","2772.59","17379813788158","-306716682005","17686530470162","193109042090642","6379057721161","9","5835400151"
"005E","その他金融業","20250620","993.22","-4.5","-0.45","997.72","5903189286579","-26780585391","5929969871971","28110425174188","5943510962161","21","3430503711"
"005F","不動産業","20250620","2090.1","-7.75","-0.37","2097.85","10341858652250","-38346087807","10380204740057","20683717304500","494802218439","50","6263672508"
"0060","サービス業","20250620","2983.2","-35.31","-1.17","3018.51","23073422899894","-273106372612","23346529272506","14155474171714","773445852974","163","10484088477"
"0070","東証グロース市場250指数","20250620","750.71","-6.87","-0.91","757.58","2957784374246","-27069935291","2984854309537","1048859707179","3939969228800","282","3771352074"
"0075","REIT","20250620","1786.11","-2.08","-0.12","1788.19","14305532856544","-16670889252","14322203745796","25097426064112","8009318904275","57","12036772175"
"0080","TOPIX-17 食品","20250620","388.3","-2.68","-0.69","390.98","16647806891163","-114901613340","16762708504502","21343342168157","4287346323843","78","6093960729"
