"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250820","3098.91","-17.72","-0.57","3116.63","587751037302569","-3359900850309","591110938152878","35006017707121","18966351967740","1679","257730129731"
"0002","大型","20250820","3032.03","-20.97","-0.69","3053","388735138528310","-2688937794815","391424076323125","388735138528310","12820945026875","100","169975610552"
"0003","中型","20250820","3340.72","-11.71","-0.35","3352.43","154128012478684","-540052610214","154668065088898","38823176946772","4613614335427","397","61495020387"
"0004","小型","20250820","5262.37","-15.35","-0.29","5277.72","44887886295575","-130910445279","45018796740854","3797621514008","852997125516","1182","26259498792"
"0028","TOPIX Core30","20250820","1623.49","-13.03","-0.8","1636.52","243355614230165","-1953098888642","245308713118806","811185380767216","149896975191339","30","115754078794"
"0029","TOPIX Large70","20250820","3006.44","-15.21","-0.5","3021.65","145379524298145","-735838906174","146115363204319","207685034711636","48356098117239","70","54221531758"
"002A","TOPIX 100","20250820","2103.24","-14.55","-0.69","2117.79","388735138528310","-2688937794815","391424076323125","388735138528310","184827090488307","100","169975610552"
"002B","TOPIX Mid400","20250820","3174.82","-11.12","-0.35","3185.94","154128012478684","-540052610214","154668065088898","38823176946772","48547017642490","397","61495020387"
"002C","TOPIX 500","20250820","2418.5","-14.38","-0.59","2432.88","542863151006994","-3228990405030","546092141412024","109227998190542","224463076538669","497","231470630939"
"002D","TOPIX Small","20250820","3564.56","-10.4","-0.29","3574.96","44887886295575","-130910445279","45018796740854","3797621514008","12592819828932","1182","26259498792"
"002E","TOPIX 1000","20250820","2932.23","-17.02","-0.58","2949.25","574425166024949","-3334296679917","577759462704865","58317275738573","195900157513166","985","247102888434"
"002F","TOPIX Small500","20250820","1574.03","-5.25","-0.33","1579.28","31562015017955","-105306274887","31667321292842","6467626028269","20051684132558","488","15632257495"
"0040","水産・農林業","20250820","638.07","10.27","1.64","627.8","462149648627","7439096166","454710552461","6602137837533","72429180909","7","284274267"
"0041","鉱業","20250820","697.18","5.97","0.86","691.21","1716818267289","14692690026","1702125577263","34336365345783","246252979781","5","771914089"
"0042","建設業","20250820","2269.66","12.64","0.56","2257.02","14003084060039","77984384750","13925099675289","18425110605315","616968754875","76","4837735638"
"0043","食料品","20250820","2425.22","32.39","1.35","2392.83","17399815365603","232402224054","17167413141549","24506782205075","717451813771","71","5827115271"
"0044","繊維製品","20250820","816.33","-3.85","-0.47","820.18","2221483131157","-10481227159","2231964358316","10578491100746","272130273331","21","1586448332"
"0045","パルプ・紙","20250820","568.96","2.25","0.4","566.71","812091402450","3217155965","808874246485","10151142530622","142732615529","8","882847100"
"0046","化学","20250820","2482.44","-2.83","-0.11","2485.27","27616879443818","-31577936370","27648457380188","22636786429359","11124909570489","122","11754137861"
"0047","医薬品","20250820","3630.72","3.78","0.1","3626.94","22512074248581","23433666815","22488640581766","68218406813881","6200441389339","33","6470404706"
"0048","石油・石炭製品","20250820","1980.84","1.54","0.08","1979.3","2732406124024","2119762885","2730286361139","39034373200348","137941815950","7","2846636737"
"0049","ゴム製品","20250820","5114.93","10.44","0.2","5104.49","3876076367531","7913756103","3868162611428","35237057886650","75779681012","11","802488348"
"004A","ガラス・土石製品","20250820","1488.99","-11.4","-0.76","1500.39","3652896849415","-27946714373","3680843563788","14611587397658","245326410030","25","1080976056"
"004B","鉄鋼","20250820","727.22","3.43","0.47","723.79","4458703783788","21073536956","4437630246832","19385668625163","613112601065","23","1908775557"
"004C","非鉄金属","20250820","2250.82","-70.07","-3.02","2320.89","6344099078980","-197539324263","6541638403243","31720495394899","281857637650","20","1624481235"
"004D","金属製品","20250820","1619.96","-4.53","-0.28","1624.49","2875910968608","-8040658736","2883951627344","9586369895360","177529965840","30","1262878249"
"004E","機械","20250820","3871.29","-77.26","-1.96","3948.55","35126072096264","-701013705049","35827085801313","30022283842960","907347447091","117","8647439518"
"004F","電気機器","20250820","5209.43","-82.3","-1.56","5291.73","99339261535560","-1569345604778","100908607140338","75831497355389","1906913219759","131","27139652920"
"0050","輸送用機器","20250820","4679.64","17.65","0.38","4661.99","41326865647603","155830599255","41171035048348","96108989878147","883121211520","43","18297963755"
"0051","精密機器","20250820","11584.55","-136","-1.16","11720.55","11645611616236","-136714468888","11782326085123","41591470057985","100527082379","28","3242982461"
"0052","その他製品","20250820","7892.89","-183.58","-2.27","8076.47","19037101406947","-442784718864","19479886125811","47592753517368","241193124856","40","3374948684"
"0053","電気・ガス業","20250820","605.64","1.15","0.19","604.49","7995664626201","15245552211","7980419073990","34763759244352","1320197325267","23","4455886279"
"0054","陸運業","20250820","2328.72","21.85","0.95","2306.87","14554751759242","136604088170","14418147671072","39337166916869","625009660253","37","4993257598"
"0055","海運業","20250820","1846.55","9.06","0.49","1837.49","3383071395837","16595318442","3366476077394","56384523263948","183210620549","6","876423471"
"0056","空運業","20250820","251","-0.29","-0.12","251.29","2073795277325","-2370882033","2076166159358","103689763866225","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250820","4310.98","24.68","0.58","4286.3","899063805102","5147871235","893915933867","7492198375852","20855208963","12","345171696"
"0058","情報・通信業","20250820","7546.17","-153.8","-2","7699.97","48731133297481","-993195135767","49724328433248","27531713727390","645772783039","177","71899568944"
"0059","卸売業","20250820","4218.16","-14.7","-0.35","4232.86","40874418793585","-142509833021","41016928626606","31441860610450","9690114498622","130","11393124381"
"005A","小売業","20250820","2199.3","5.2","0.24","2194.1","27956401374690","66091035699","27890310338990","19148220119651","12711498340284","146","8036638678"
"005B","銀行業","20250820","445.13","1.62","0.37","443.51","54797241198326","199864473550","54597376724776","80584178232832","123102587756300","68","22241400267"
"005C","証券、商品先物取引業","20250820","735.13","-10.3","-1.38","745.43","5582400704829","-78272825144","5660673529973","31013337249048","7593803958779","18","4150218719"
"005D","保険業","20250820","3093.08","14.51","0.47","3078.57","19536094472762","91663059462","19444431413299","217067716364018","6316061531255","9","5794153410"
"005E","その他金融業","20250820","1144.09","-10.62","-0.92","1154.71","6799913149799","-63125104782","6863038254580","32380538808565","5943513737525","21","3430512114"
