"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251104","3310.14","-21.69","-0.65","3331.83","628978182679431","-5242309914160","634220492593591","37595826818854","19001529982966","1673","267532659533"
"0002","大型","20251104","3278.77","-31.42","-0.95","3310.19","430351760465428","-5247924366609","435599684832036","430351760465428","13125422289382","100","174997288695"
"0003","中型","20251104","3482.17","-2.13","-0.06","3484.3","154724734698332","-95007217373","154819741915705","38681183674583","4443348654607","400","65574718397"
"0004","小型","20251104","5482.97","12.47","0.23","5470.5","43901687515671","100621669821","43801065845849","3742684357687","800691434345","1173","26960652442"
"0028","TOPIX Core30","20251104","1758.36","-25.76","-1.44","1784.12","272278331679805","-3989231631055","276267563310859","878317198967112","154848100229291","31","117179304442"
"0029","TOPIX Large70","20251104","3242.88","-2.79","-0.09","3245.67","158073428785623","-1258692735554","159332121521177","229091925776265","48744718649887","69","57817984253"
"002A","TOPIX 100","20251104","2274.39","-21.8","-0.95","2296.19","430351760465428","-5247924366609","435599684832036","430351760465428","189216442944858","100","174997288695"
"002B","TOPIX Mid400","20251104","3309.24","-2.03","-0.06","3311.27","154724734698332","-95007217373","154819741915705","38681183674583","46755387391299","400","65574718397"
"002C","TOPIX 500","20251104","2588.63","-18.67","-0.72","2607.3","585076495163760","-5342931583982","590419426747741","117015299032752","226017781103803","500","240572007092"
"002D","TOPIX Small","20251104","3713.99","8.45","0.23","3705.54","43901687515671","100621669821","43801065845849","3742684357687","11820629483577","1173","26960652442"
"002E","TOPIX 1000","20251104","3133.33","-21.13","-0.67","3154.46","617314247229476","-5285742987261","622599990216737","61731424722948","197015148379878","1000","256936433594"
"002F","TOPIX Small500","20251104","1634.35","2.9","0.18","1631.45","32237752065717","57188596721","32180563468996","6447550413143","19725080774737","500","16364426502"
"0040","水産・農林業","20251104","664.1","-0.57","-0.09","664.67","471036771144","-407571719","471444342863","6729096730633","70929098947","7","270681695"
"0041","鉱業","20251104","831.34","8.16","0.99","823.18","2060091195471","20228079570","2039863115901","41201823909410","247803758257","5","808110172"
"0042","建設業","20251104","2403.01","6.49","0.27","2396.52","14501982159405","39136622494","14462845536911","19335976212540","603492400505","75","4829205970"
"0043","食料品","20251104","2426.68","-0.38","-0.02","2427.06","17706716517846","-2769715838","17709486233683","24592661830341","729667130564","72","5923916671"
"0044","繊維製品","20251104","805.68","-1.86","-0.23","807.54","2146162694402","-4966182807","2151128877209","10730813472012","266380323934","20","1579946974"
"0045","パルプ・紙","20251104","555.88","0.09","0.02","555.79","818492977291","139460300","818353516991","10231162216143","147241542162","8","919112646"
"0046","化学","20251104","2523.67","-0.04","0","2523.71","28455566126556","-439788985","28456005915542","23134606606956","11275473757925","123","11959508687"
"0047","医薬品","20251104","3489.69","-20.14","-0.57","3509.83","21803496916887","-125859019450","21929355936336","66071202778444","6247983692754","33","6549988668"
"0048","石油・石炭製品","20251104","2199.47","34.52","1.59","2164.95","2847760310546","44688401189","2803071909358","40682290150658","129474841461","7","2737481120"
"0049","ゴム製品","20251104","5348.06","78.65","1.49","5269.41","4059147822288","59694399857","3999453422432","36901343838986","75899427854","11","805254822"
"004A","ガラス・土石製品","20251104","1657.5","29.01","1.78","1628.49","4073205858335","71285830993","4001920027343","16292823433340","245743833207","25","1084893684"
"004B","鉄鋼","20251104","739.72","-6.2","-0.83","745.92","4801577449923","-40188990129","4841766440052","20876423695317","649103236397","23","5147400861"
"004C","非鉄金属","20251104","3500.55","42.3","1.22","3458.25","10658951201920","128786441642","10530164760277","53294756009600","304493876162","20","1759068592"
"004D","金属製品","20251104","1633.37","-10.31","-0.63","1643.68","2881680018368","-18195841587","2899875859955","9605600061226","176425812276","30","1265355157"
"004E","機械","20251104","4389.05","-0.19","0","4389.24","40366992841090","-1679452850","40368672293940","34501703282983","919719976575","117","9446541066"
"004F","電気機器","20251104","6399.45","-57.47","-0.89","6456.92","120742133274820","-2207212718597","122949345993417","92878564057554","1886758140162","130","26854429706"
"0050","輸送用機器","20251104","4916.16","7.41","0.15","4908.75","43143459322996","65035089238","43078424233758","100333626332548","877583678574","43","18400779132"
"0051","精密機器","20251104","13318.62","58.18","0.44","13260.44","13023409300044","56894773162","12966514526882","46512176071587","97783459593","28","3125535277"
"0052","その他製品","20251104","7478.7","-36.18","-0.48","7514.88","18100720312467","-87546256521","18188266568988","45251800781168","242030178441","40","3424086809"
"0053","電気・ガス業","20251104","628.46","-0.69","-0.11","629.15","8449842579171","-9241153781","8459083732952","36738445996394","1344528902693","23","4601154582"
"0054","陸運業","20251104","2221.01","-13.24","-0.59","2234.25","13751597039524","-81987063053","13833584102577","37166478485199","619160186908","37","4875236043"
"0055","海運業","20251104","1740.01","-73.9","-4.07","1813.91","3299133807210","-140111200371","3439245007580","54985563453493","189603980156","6","898142831"
"0056","空運業","20251104","235.34","5.45","2.37","229.89","1944375738261","44963414864","1899412323397","97218786913032","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20251104","4165.62","-47.51","-1.13","4213.13","854577399826","-9746408190","864323808016","8545773998258","20515017430","10","377398835"
"0058","情報・通信業","20251104","8292.67","-269.96","-3.15","8562.63","51392411575804","-1668125398956","53060536974760","28872141334721","619733010881","178","68753736246"
"0059","卸売業","20251104","4616.3","-50.87","-1.09","4667.17","45214397206526","-498251036949","45712648243475","35049920315137","9794511479829","129","11523025538"
"005A","小売業","20251104","2180.61","-32.58","-1.47","2213.19","27415815137198","-413670594994","27829485732191","19038760511943","12572529155624","144","10913539950"
