"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251016","3203.42","19.78","0.62","3183.64","605461885721156","3737885669271","601724000051885","36211835270404","18900505830918","1672","269544230723"
"0002","大型","20251016","3164.85","25.29","0.81","3139.56","405631135183448","3241580850478","402389554332970","401614985330146","12816765083027","101","178675931779"
"0003","中型","20251016","3384.38","6.92","0.2","3377.46","154364378770770","315663009348","154048715761422","38980903729992","4561077174001","396","63657585664"
"0004","小型","20251016","5346.48","21.24","0.4","5325.24","45466371766938","180641809445","45285729957493","3869478448250","850397757432","1175","27210713280"
"0028","TOPIX Core30","20251016","1699.01","16.19","0.96","1682.82","254598508052863","2424927777732","252173580275131","821285509847946","149851411965555","31","120371397674"
"0029","TOPIX Large70","20251016","3124.48","16.9","0.54","3107.58","151032627130585","816653072746","150215974057839","215760895900835","48338545355092","70","58304534105"
"002A","TOPIX 100","20251016","2195.37","17.55","0.81","2177.82","405631135183448","3241580850478","402389554332970","401614985330146","184766832304672","101","178675931779"
"002B","TOPIX Mid400","20251016","3216.31","6.57","0.2","3209.74","154364378770770","315663009348","154048715761422","38980903729992","47994192391565","396","63657585664"
"002C","TOPIX 500","20251016","2503.61","15.91","0.64","2487.7","559995513954218","3557243859826","556438270094392","112675153713122","223675432947459","497","242333517443"
"002D","TOPIX Small","20251016","3621.54","14.39","0.4","3607.15","45466371766938","180641809445","45285729957493","3869478448250","12554445287015","1175","27210713280"
"002E","TOPIX 1000","20251016","3032.09","18.72","0.62","3013.37","591940354521474","3655403143590","588284951377884","60217736980821","195225097217155","983","258735850495"
"002F","TOPIX Small500","20251016","1596.96","4.91","0.31","1592.05","31944840567256","98159283764","31846681283492","6573012462398","20003506850016","486","16402333052"
"0040","水産・農林業","20251016","655.96","-0.62","-0.09","656.58","473238201850","-446818816","473685020667","6760545740716","72144179910","7","283774267"
"0041","鉱業","20251016","782.32","7.01","0.9","775.31","1926488006276","17254262591","1909233743685","38529760125519","246252979781","5","801982438"
"0042","建設業","20251016","2291.8","17.4","0.77","2274.4","14099795793853","107066796473","13992728997381","18799727725138","615227896833","75","4935858550"
"0043","食料品","20251016","2373.74","-7.58","-0.32","2381.32","17030424795781","-54432696099","17084857491880","23986513796874","717451813771","71","5827115271"
"0044","繊維製品","20251016","796.91","0.51","0.06","796.4","2103745856250","1336690658","2102409165592","10518729281249","263987682595","20","1576013673"
"0045","パルプ・紙","20251016","565.82","1.56","0.28","564.26","807605952055","2229289361","805376662694","10095074400686","142732615529","8","895847100"
"0046","化学","20251016","2526.92","-0.81","-0.03","2527.73","28176595835747","-9002996301","28185598832047","22907801492477","11150575961582","123","11879838528"
"0047","医薬品","20251016","3581.99","31.42","0.88","3550.57","22209170214977","194799067566","22014371147410","67300515802960","6200230974168","33","6470047985"
"0048","石油・石炭製品","20251016","2074.81","3.62","0.17","2071.19","2841739616607","4956274079","2836783342529","40596280237246","136963894279","7","2884980717"
