"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250827","3069.74","-2.25","-0.07","3071.99","582217583318613","-426893237273","582644476555885","34676449274486","18966332870014","1679","257729943699"
"0002","大型","20250827","2992.32","-3.92","-0.13","2996.24","383642939326039","-502356248985","384145295575024","383642939326039","12820925613993","100","169975426613"
"0003","中型","20250827","3327.3","0.47","0.01","3326.83","153508630593778","21566304832","153487064288946","38667161358634","4613614243135","397","61495019099"
"0004","小型","20250827","5283.26","6.32","0.12","5276.94","45066013398796","53896706880","45012116691916","3812691488900","852997123036","1182","26259497987"
"0028","TOPIX Core30","20250827","1598.01","-5.55","-0.35","1603.56","239535974361105","-831593619005","240367567980109","798453247870349","149896612635190","30","115753894855"
"0029","TOPIX Large70","20250827","2980.12","6.81","0.23","2973.31","144106964964935","329237370020","143777727594914","205867092807049","48356098117239","70","54221531758"
"002A","TOPIX 100","20250827","2075.69","-2.72","-0.13","2078.41","383642939326039","-502356248985","384145295575024","383642939326039","184826810631675","100","169975426613"
"002B","TOPIX Mid400","20250827","3162.06","0.44","0.01","3161.62","153508630593778","21566304832","153487064288946","38667161358634","48547016671343","397","61495019099"
"002C","TOPIX 500","20250827","2393.05","-2.15","-0.09","2395.2","537151569919817","-480789944152","537632359863969","108078786704189","224462831885674","497","231470445712"
"002D","TOPIX Small","20250827","3578.71","4.28","0.12","3574.43","45066013398796","53896706880","45012116691916","3812691488900","12592819792326","1182","26259497987"
"002E","TOPIX 1000","20250827","2904.05","-2.18","-0.08","2906.23","568904012895010","-426569600127","569330582495137","57756752578174","195899955724715","985","247102703206"
"002F","TOPIX Small500","20250827","1583.53","2.7","0.17","1580.83","31752442975193","54220344025","31698222631168","6506648150654","20051684132558","488","15632257495"
"0040","水産・農林業","20250827","633.91","4.71","0.75","629.2","459137831478","3412674129","455725157349","6559111878259","72429180909","7","284274267"
"0041","鉱業","20250827","712.85","-2.18","-0.3","715.03","1755426522356","-5356295400","1760782817756","35108530447116","246252979781","5","771914089"
"0042","建設業","20250827","2232.42","7.13","0.32","2225.29","13773343002949","44022265848","13729320737101","18122819740722","616968754875","76","4837735638"
"0043","食料品","20250827","2370.87","-2.3","-0.1","2373.17","17009839077165","-16510182109","17026349259274","23957519826993","717451813771","71","5827115271"
"0044","繊維製品","20250827","820.3","3.74","0.46","816.56","2232279374351","10163006508","2222116367843","10629901782622","272130273331","21","1586448332"
