"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250822","3100.87","17.92","0.58","3082.95","588121784875770","3399675883875","584722108991895","35028099158771","18966332973839","1679","257729945792"
"0002","大型","20250822","3027.75","18.55","0.62","3009.2","388185399553248","2378605139931","385806794413318","388185399553248","12820925613993","100","169975426613"
"0003","中型","20250822","3354.98","17.32","0.52","3337.66","154785641381818","798704044775","153986937337044","38988826544539","4613614335427","397","61495020387"
"0004","小型","20250822","5293.19","26.07","0.49","5267.12","45150743940704","222366699170","44928377241534","3819859893461","852997125516","1182","26259498792"
"0028","TOPIX Core30","20250822","1620.01","11.28","0.7","1608.73","242834183779467","1690643320593","241143540458874","809447279264890","149896612635190","30","115753894855"
"0029","TOPIX Large70","20250822","3005.85","14.23","0.48","2991.62","145351215773781","687961819338","144663253954443","207644593962545","48356098117239","70","54221531758"
"002A","TOPIX 100","20250822","2100.27","12.87","0.62","2087.4","388185399553248","2378605139931","385806794413318","388185399553248","184826810631675","100","169975426613"
"002B","TOPIX Mid400","20250822","3188.37","16.46","0.52","3171.91","154785641381818","798704044775","153986937337044","38988826544539","48547017642490","397","61495020387"
"002C","TOPIX 500","20250822","2418.98","14.16","0.59","2404.82","542971040935067","3177309184705","539793731750361","109249706425567","224462833162347","497","231470447000"
"002D","TOPIX Small","20250822","3585.44","17.66","0.49","3567.78","45150743940704","222366699170","44928377241534","3819859893461","12592819828932","1182","26259498792"
"002E","TOPIX 1000","20250822","2933.73","17.02","0.58","2916.71","574717175914419","3333888605467","571383287308951","58346921412631","195899956777242","985","247102704495"
"002F","TOPIX Small500","20250822","1583.22","7.81","0.5","1575.41","31746134979352","156579420762","31589555558590","6505355528556","20051684132558","488","15632257495"
"0040","水産・農林業","20250822","643.43","4.1","0.64","639.33","466034245532","2970703664","463063541869","6657632079032","72429180909","7","284274267"
"0041","鉱業","20250822","712.77","10.46","1.49","702.31","1755220186678","25750273325","1729469913353","35104403733561","246252979781","5","771914089"
"0042","建設業","20250822","2270.61","21","0.93","2249.61","14008959577516","129540931228","13879418646288","18432841549363","616968754875","76","4837735638"
"0043","食料品","20250822","2411.24","5.44","0.23","2405.8","17299507490156","39035426448","17260472063707","24365503507261","717451813771","71","5827115271"
"0044","繊維製品","20250822","817.97","1.74","0.21","816.23","2225937199435","4730080084","2221207119350","10599700949689","272130273331","21","1586448332"
"0045","パルプ・紙","20250822","579.12","5.95","1.04","573.17","826590257472","8488935525","818101321947","10332378218395","142732615529","8","882847100"
"0046","化学","20250822","2481.59","-13.76","-0.55","2495.35","27607431802187","-153149821701","27760581623888","22629042460809","11124909570489","122","11754137861"
"0047","医薬品","20250822","3556.53","15.37","0.43","3541.16","22052032030618","95254081383","21956777949235","66824339486722","6200441389339","33","6470404706"
"0048","石油・石炭製品","20250822","1995.64","11.46","0.58","1984.18","2752828129362","15813830621","2737014298740","39326116133738","137941815950","7","2846636737"
