"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251023","3253.78","-12.65","-0.39","3266.43","614973930865179","-2391249664454","617365180529632","36802748705277","18900310832054","1671","269542150448"
"0002","大型","20251023","3206.68","-22.56","-0.7","3229.24","410992298657988","-2891431022102","413883729680089","406923067978206","12816765083027","101","178675931779"
"0003","中型","20251023","3450.56","5.25","0.15","3445.31","157382666041040","239327594357","157143338446683","39743097485111","4561077174001","396","63657585664"
"0004","小型","20251023","5480.42","30.68","0.56","5449.74","46598966166151","260853763291","46338112402860","3969247543965","850280507683","1174","27208633005"
"0028","TOPIX Core30","20251023","1718.98","-13.24","-0.76","1732.22","257592084341198","-1983519356915","259575603698113","830942207552253","149851411965555","31","120371397674"
"0029","TOPIX Large70","20251023","3173.46","-18.78","-0.59","3192.24","153400214316789","-907911665187","154308125981976","219143163309699","48338545355092","70","58304534105"
"002A","TOPIX 100","20251023","2224.38","-15.65","-0.7","2240.03","410992298657988","-2891431022102","413883729680089","406923067978206","184766832304672","101","178675931779"
"002B","TOPIX Mid400","20251023","3279.2","4.98","0.15","3274.22","157382666041040","239327594357","157143338446683","39743097485111","47994192391565","396","63657585664"
"002C","TOPIX 500","20251023","2541.07","-11.86","-0.46","2552.93","568374964699028","-2652103427745","571027068126772","114361159899201","223675432947459","497","242333517443"
"002D","TOPIX Small","20251023","3712.26","20.78","0.56","3691.48","46598966166151","260853763291","46338112402860","3969247543965","12552714325768","1174","27208633005"
"002E","TOPIX 1000","20251023","3079.12","-12.58","-0.41","3091.7","601122352895840","-2455576751352","603577929647193","61151816164378","195225097217155","983","258735850495"
"002F","TOPIX Small500","20251023","1637.08","9.82","0.6","1627.26","32747388196813","196526676392","32550861520420","6738145719509","20003506850016","486","16402333052"
"0040","水産・農林業","20251023","673.25","9.22","1.39","664.03","485710536167","6649026073","479061510094","6938721945236","72144179910","7","283774267"
"0041","鉱業","20251023","814.46","20.33","2.56","794.13","2005629798608","50058320173","1955571478435","40112595972166","246252979781","5","801982438"
"0042","建設業","20251023","2383.08","12.91","0.54","2370.17","14661395723139","79455208446","14581940514693","19548527630852","615227896833","75","4935858550"
"0043","食料品","20251023","2418.79","3.01","0.12","2415.78","17353620612624","21572483334","17332048129290","24441719172709","717451813771","71","5827115271"
"0044","繊維製品","20251023","831.51","4.79","0.58","826.72","2195071771559","12645992677","2182425778883","10975358857796","263987682595","20","1576013673"
"0045","パルプ・紙","20251023","586.15","8.37","1.45","577.78","836626672848","11941458908","824685213941","10457833410602","142732615529","8","895847100"
"0046","化学","20251023","2567.14","0.36","0.01","2566.78","28625116543016","4093433908","28621023109108","23272452473997","11150575961582","123","11879838528"
"0047","医薬品","20251023","3616.43","-6.37","-0.18","3622.8","22422687421535","-39495108234","22462182529769","67947537641016","6200230974168","33","6470047985"
"0048","石油・石炭製品","20251023","2135.11","30.6","1.45","2104.51","2924330828550","41905757970","2882425070580","41776154693571","136963894279","7","2884980717"
"0049","ゴム製品","20251023","5290.53","14.24","0.27","5276.29","4009144968283","10787454020","3998357514263","36446772438936","75779681012","11","802488348"
"004A","ガラス・土石製品","20251023","1599.64","-1.13","-0.07","1600.77","3925172213572","-2773338981","3927945552553","15700688854287","245377929501","25","1082474561"
"004B","鉄鋼","20251023","733.38","-4.79","-0.65","738.17","4496475727485","-29323303933","4525799031418","19549894467325","613112601065","23","4812662092"
"004C","非鉄金属","20251023","2966.38","29.85","1.02","2936.53","8360975089343","84127703196","8276847386147","41804875446713","281857637650","20","1680075066"
"004D","金属製品","20251023","1677.49","-9.11","-0.54","1686.6","2972706806993","-16143902174","2988850709167","9909022689976","177211543000","30","1261679859"
"004E","機械","20251023","4341.03","4.81","0.11","4336.22","39340249401436","43606018905","39296643382531","33624144787552","906241882606","117","9311055839"
"004F","電気機器","20251023","5931.22","-72.65","-1.21","6003.87","112300998396688","-1375515962334","113676514359023","85725952974571","1893388458534","131","27146943404"
"0050","輸送用機器","20251023","4892.67","-17.6","-0.36","4910.27","43208177298441","-155450908566","43363628207006","100484133252187","883121211520","43","18297963755"
"0051","精密機器","20251023","12826.37","-42.47","-0.33","12868.84","12700992758919","-42048634030","12743041392949","45360688424711","99022480698","28","3188378916"
"0052","その他製品","20251023","7550.91","-19.48","-0.26","7570.39","18211243748236","-46983217682","18258226965919","45528109370591","241179355439","40","3418272854"
"0053","電気・ガス業","20251023","612.27","2.68","0.44","609.59","8083236199395","35405839738","8047830359657","35144505214761","1320198797284","23","4455895893"
"0054","陸運業","20251023","2308.62","3.36","0.15","2305.26","14429092856288","21017571689","14408075284599","38997548260238","625009660253","37","4993257598"
"0055","海運業","20251023","1757.9","11.56","0.66","1746.34","3220699007342","21173558582","3199525448760","53678316789032","183213066596","6","876432921"
"0056","空運業","20251023","235.2","-0.76","-0.32","235.96","1943254966768","-6299133267","1949554100035","97162748338388","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20251023","4268.27","17.48","0.41","4250.79","850638448499","3483105374","847155343124","8506384484985","19929354656","10","355476464"
"0058","情報・通信業","20251023","8066.59","-115.04","-1.41","8181.63","50710635417407","-723218595589","51433854012996","28812861032618","628650522872","176","71873383548"
"0059","卸売業","20251023","4623.69","4.98","0.11","4618.71","44699960677913","48082221110","44651878456803","34651132308460","9667602499445","129","11383228456"
"005A","小売業","20251023","2236.74","9.71","0.44","2227.03","28388404807703","123263173961","28265141633742","19714170005350","12691879311372","144","11005884866"
"005B","銀行業","20251023","445.75","-3.24","-0.72","448.99","54771192990074","-399110627320","55170303617394","80545872044227","122875556163061","68","22408667755"
"005C","証券、商品先物取引業","20251023","737.33","-10.09","-1.35","747.42","5599651050604","-76633170030","5676284220633","31109172503353","7594538840669","18","4150303556"
