"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251106","3313.45","45.16","1.38","3268.29","629607076352415","8582201355167","621024874997248","37633417594287","19001529982966","1673","267532659533"
"0002","大型","20251106","3285.52","57.2","1.77","3228.32","431238740138460","7508196879116","423730543259344","431238740138460","13125422289382","100","174997288695"
"0003","中型","20251106","3480.28","18.66","0.54","3461.62","154640807583066","829034927728","153811772655337","38660201895766","4443348654607","400","65574718397"
"0004","小型","20251106","5461.22","30.59","0.56","5430.63","43727528630890","244969548323","43482559082567","3727837052932","800691434345","1173","26960652442"
"0028","TOPIX Core30","20251106","1765.05","37.85","2.19","1727.2","273315046273836","5861610114823","267453436159013","881661439593018","154848100229291","31","117179304442"
"0029","TOPIX Large70","20251106","3239.81","33.78","1.05","3206.03","157923693864624","1646586764293","156277107100331","228874918644383","48744718649887","69","57817984253"
"002A","TOPIX 100","20251106","2279.08","39.68","1.77","2239.4","431238740138460","7508196879116","423730543259344","431238740138460","189216442944858","100","174997288695"
"002B","TOPIX Mid400","20251106","3307.44","17.73","0.54","3289.71","154640807583066","829034927728","153811772655337","38660201895766","46755387391299","400","65574718397"
"002C","TOPIX 500","20251106","2592.18","36.88","1.44","2555.3","585879547721525","8337231806844","577542315914681","117175909544305","226017781103803","500","240572007092"
"002D","TOPIX Small","20251106","3699.26","20.73","0.56","3678.53","43727528630890","244969548323","43482559082567","3727837052932","11820629483577","1173","26960652442"
"002E","TOPIX 1000","20251106","3136.68","43.15","1.39","3093.53","617972619976544","8500007755595","609472612220949","61797261997654","197015148379878","1000","256936433594"
"002F","TOPIX Small500","20251106","1627.02","8.25","0.51","1618.77","32093072255018","162775948751","31930296306267","6418614451004","19725080774737","500","16364426502"
"0040","水産・農林業","20251106","678.52","17.03","2.57","661.49","481268359234","12080803604","469187555630","6875262274775","70929098947","7","270681695"
"0041","鉱業","20251106","837.02","15.16","1.84","821.86","2074168314158","37576621477","2036591692681","41483366283155","247803758257","5","808110172"
"0042","建設業","20251106","2456.73","18.05","0.74","2438.68","14826175942013","108950085744","14717225856268","19768234589350","603492400505","75","4829205970"
"0043","食料品","20251106","2445.92","0.04","0","2445.88","17847071993959","269246309","17846802747651","24787599991610","729667130564","72","5923916671"
"0044","繊維製品","20251106","796.25","10.62","1.35","785.63","2121051616265","28290861328","2092760754937","10605258081324","266380323934","20","1579946974"
"0045","パルプ・紙","20251106","557.58","2.97","0.54","554.61","820996312511","4386157868","816610154644","10262453906388","147241542162","8","919112646"
"0046","化学","20251106","2490.5","-4.24","-0.17","2494.74","28081512470806","-47896048153","28129408518959","22830497943744","11275473757925","123","11959508687"
"0047","医薬品","20251106","3499.58","25.86","0.74","3473.72","21865345192921","161598257815","21703746935106","66258621796730","6247983692754","33","6549988668"
"0048","石油・石炭製品","20251106","2165.63","18.87","0.88","2146.76","2803948802528","24436303955","2779512498574","40056411464688","129474841461","7","2737481120"
"0049","ゴム製品","20251106","5312.62","-45.43","-0.85","5358.05","4032245045606","-34483840925","4066728886531","36656773141869","75899427854","11","805254822"
"004A","ガラス・土石製品","20251106","1661.8","13.07","0.79","1648.73","4083766126472","32122895987","4051643230486","16335064505889","245743833207","25","1084893684"
"004B","鉄鋼","20251106","718.71","-6.15","-0.85","724.86","4665169417188","-39934163194","4705103580383","20283345292124","649103236397","23","5147400861"
"004C","非鉄金属","20251106","3558.53","190.61","5.66","3367.92","10835516255154","580399252810","10255117002344","54177581275772","304493876162","20","1759068592"
"004D","金属製品","20251106","1629.84","23.93","1.49","1605.91","2875460899301","42212829610","2833248069691","9584869664337","176425812276","30","1265355157"
"004E","機械","20251106","4397.83","126.39","2.96","4271.44","40447749814267","1162473734657","39285276079610","34570726336980","919719976575","117","9446541066"
"004F","電気機器","20251106","6331.98","115.76","1.86","6216.22","119469083128456","2183971496667","117285111631788","91899294714197","1886758140162","130","26854429706"
"0050","輸送用機器","20251106","4868.07","75.6","1.58","4792.47","42721418509386","663505001855","42057913507530","99352136068338","877583678574","43","18400779132"
"0051","精密機器","20251106","13322.04","193.88","1.48","13128.16","13026746837465","189581403156","12837165434308","46524095848088","97783459593","28","3125535277"
"0052","その他製品","20251106","7807.04","73.55","0.95","7733.49","18895401320270","178032891719","18717368428551","47238503300674","242030178441","40","3424086809"
"0053","電気・ガス業","20251106","645.56","10.91","1.72","634.65","8679769980521","146776049522","8532993930999","37738130350091","1344528902693","23","4601154582"
"0054","陸運業","20251106","2240.26","-8.62","-0.38","2248.88","13870797910713","-53354958113","13924152868826","37488643001927","619160186908","37","4875236043"
"0055","海運業","20251106","1707.96","-31.65","-1.82","1739.61","3238354951891","-60011210708","3298366162599","53972582531520","189603980156","6","898142831"
"0056","空運業","20251106","235.84","0.33","0.14","235.51","1948555248391","2741567309","1945813681082","97427762419557","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20251106","4192.85","14.58","0.35","4178.27","860164695669","2991694320","857173001350","8601646956691","20515017430","10","377398835"
"0058","情報・通信業","20251106","8045.35","56.17","0.7","7989.18","49859679067356","348066501978","49511612565378","28011055655818","619733010881","178","68753736246"
"0059","卸売業","20251106","4785.16","88.05","1.87","4697.11","46868286387887","862377527303","46005908860584","36332004951850","9794511479829","129","11523025538"
"005A","小売業","20251106","2193.92","-1.01","-0.05","2194.93","27583112381242","-12691255326","27595803636568","19154939153640","12572529155624","144","10913539950"
"005B","銀行業","20251106","463.43","9.84","2.17","453.59","59013733504730","1253014309893","57760719194837","86784902212838","127341817981922","68","23055591113"
"005C","証券、商品先物取引業","20251106","764.69","20.77","2.79","743.92","5936847966583","161205681560","5775642285023","32982488703238","7763762877823","18","4183062237"
"005D","保険業","20251106","2808.33","50.22","1.82","2758.11","19068894182860","340972663861","18727921518999","173353583480545","6790124954898","11","10648493163"
"005E","その他金融業","20251106","1159.91","21.54","1.89","1138.37","6979087994935","129611312116","6849476682819","33233752356833","6016908033087","21","3359433891"
"005F","不動産業","20251106","2365.17","31.68","1.36","2333.49","11679459823054","156440326159","11523019496894","23358919646107","493810420313","50","6538820006"
"0060","サービス業","20251106","2955.38","2.21","0.07","2953.17","22046235898626","16487353008","22029748545618","13865557168947","745970234777","159","10244506771"
"0070","東証グロース市場250指数","20251106","703.06","-5.47","-0.77","708.53","2808402754994","-21755384513","2830158139507","1114445537696","3994531658084","252","3970804958"
"0075","REIT","20251106","1989.13","-2.74","-0.14","1991.87","16039486433760","-22125340565","16061611774325","27654286954759","8063584178387","58","12918211405"
"0080","TOPIX-17 食品","20251106","420.3","0.28","0.07","420.02","18328340353194","12350049913","18315990303281","23200430826827","4360732820035","79","6194598366"
"0081","TOPIX-17 エネルギー資源","20251106","275.29","3.5","1.29","271.79","4878117116686","62012925432","4816104191254","40650975972382","1772005979888","12","3545591291"
"0082","TOPIX-17 建設・資材","20251106","449.5","3.78","0.85","445.72","21785402967786","183285811341","21602117156445","16758002282912","4846547605776","130","7179454811"
"0083","TOPIX-17 素材・化学","20251106","320.1","-0.16","-0.05","320.26","31023560399581","-15219028958","31038779428540","20545404238133","9691802757761","151","14458568307"
"0084","TOPIX-17 医薬品","20251106","270.54","2","0.74","268.54","21865345192921","161598257815","21703746935106","66258621796730","8082154450818","33","6549988668"
"0085","TOPIX-17 自動車・輸送機","20251106","363.62","4.89","1.36","358.73","46753663554991","629021160930","46124642394061","86580858435169","12857914134240","54","19206033955"
"0086","TOPIX-17 鉄鋼・非鉄","20251106","505.06","17.61","3.61","487.45","15500685672343","540465089616","14960220582727","36048106214751","3069087336578","43","6906469453"
"0087","TOPIX-17 機械","20251106","866.7","24.91","2.96","841.79","40447749814267","1162473734657","39285276079610","34570726336980","4666875275209","117","9446541066"
"0088","TOPIX-17 電機・精密","20251106","493.08","8.83","1.82","484.25","132495829965920","2373552899824","130122277066096","83858120231595","26870917849030","158","29979964982"
"0089","TOPIX-17 情報通信・サービスその他","20251106","451.15","2.7","0.6","448.45","90801316286251","542586746705","90258729539547","24085229784152","20126609024261","377","82422329825"
"008A","TOPIX-17 電力・ガス","20251106","106.91","1.81","1.72","105.1","8679769980521","146776049522","8532993930999","37738130350091","8119044800099","23","4601154582"
"008B","TOPIX-17 運輸・物流","20251106","216.69","-1.17","-0.54","217.86","19917872806664","-107632907192","20025505713857","36214314193935","9191745637530","55","6819998330"
"008C","TOPIX-17 商社・卸売","20251106","1162.69","21.39","1.87","1141.3","46868286387887","862377527303","46005908860584","36332004951850","4031009902973","129","11523025538"
"008D","TOPIX-17 小売","20251106","381.12","-0.18","-0.05","381.3","27583112381242","-12691255326","27595803636568","19154939153640","7237325515374","144","10913539950"
"008E","TOPIX-17 銀行","20251106","298.03","6.33","2.17","291.7","59013733504730","1253014309893","57760719194837","86784902212838","19801111829304","68","23055591113"
"008F","TOPIX-17 金融（除く銀行）","20251106","307.66","6.08","2.02","301.58","31984830144378","631789657537","31353040486841","63969660288756","10396123266068","50","18190989291"
"0090","TOPIX-17 不動産","20251106","494.72","6.63","1.36","488.09","11679459823054","156440326159","11523019496894","23358919646107","2360840355242","50","6538820006"
"0099","東証インフラファンド指数","20251106","733.97","-2.31","-0.31","736.28","92331402060","-291366755","92622768815","1846628041200","125797656287","5","150433025"
"0503","JPXプライム150指数","20251106","1453.09","19.37","1.35","1433.72","373810401470576","4982948836744","368827452633832","249206934313718","257252251309022","150","152350338981"
"1000","TOPIX レバレッジ（2倍）指数","20251106","125382.01","3367.6","2.76","122014.41","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20251106","1334.27","-18.67","-1.38","1352.94","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20251106","108.24","-3.07","-2.76","111.31","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20251106","58005.72","1469.93","2.6","56535.79","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20251106","2172.49","-28.61","-1.3","2201.1","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20251106","306.84","-8.19","-2.6","315.03","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20251106","7144.57","9.99","0.14","7134.58","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20251106","9128","-25.63","-0.28","9153.63","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20251106","3966.31","11.07","0.28","3955.24","0","0","0","0","0","-","0"
"4030","TOPIX Micro Cap","20251106","14227.75","100.52","0.71","14127.23","11634456375872","82193599572","11552262776299","1728745375315","8177300355093","673","10596225940"
"5000","東証プライム市場指数","20251106","1706.36","23.3","1.38","1683.06","630681410332467","8612752611099","622068657721368","39221480742069","369605407064620","1608","266922633790"
"5001","東証スタンダード市場指数","20251106","1480.16","8.02","0.54","1472.14","12555986722489","68035323616","12487951398873","806421754816","8482879871599","1557","13686165142"
"5002","東証グロース市場指数","20251106","916.1","-5.61","-0.61","921.71","3354540367758","-20448176918","3374988544677","556308518700","3661769077690","603","5651456833"
"5003","東証プライム市場コンポジット指数","20251106","1705.93","23.29","1.38","1682.64","630819389926409","8612741415500","622206648510909","39181328566858","369780566831542","1610","266996710965"
"8000","旧東証株価指数","20251106","3420.65","43.03","1.27","3377.62","1123487674281799","14132580688048","1109355093593751","67154074972014","32844246428633","1673","491674703097"
"8100","TOPIX バリュー","20251106","3937.93","54.95","1.42","3882.98","313346494677290","4372677262085","308973817415205","26758880843492","79571299860222","1171","168632398644"
"812C","TOPIX 500 バリュー","20251106","3821.92","54.77","1.45","3767.15","291172720594308","4172610513538","287000110080770","76223225286468","76185021297672","382","153720611748"
"812D","TOPIX Small バリュー","20251106","5243.17","47.3","0.91","5195.87","22173774082982","200066748547","21973707334435","2810364269072","4229075707225","789","14911786896"
"8200","TOPIX グロース","20251106","3950.14","52.58","1.35","3897.56","316260581677646","4209524093096","312051057584550","30915012871715","80063129577975","1023","98900260891"
"822C","TOPIX 500 グロース","20251106","3986.27","56.33","1.43","3929.94","294706827128472","4164621293317","290542205835155","104136688031262","73930404615971","283","86851395344"
"822D","TOPIX Small グロース","20251106","3591.12","7.48","0.21","3583.64","21553754549174","44902799779","21508851749395","2912669533672","6001963010931","740","12048865546"
"8500","東証配当フォーカス100指数","20251106","3500.42","35.07","1.01","3465.35","301232961742635","3017846647013","298215115095623","301232961742635","86056239421370","100","138929050753"
"8501","東証REITオフィス指数","20251106","1965.52","-2.49","-0.13","1968.01","6135226169595","-7759353325","6142985522920","30676130847975","3121419337116","20","4732044070"
"8502","東証REIT住宅指数","20251106","3127.59","-2.5","-0.08","3130.09","1973513502445","-1575455035","1975088957480","19735135024450","631001603403","10","1500296155"
"8503","東証REIT商業・物流等指数","20251106","2411.55","-3.89","-0.16","2415.44","7930746761720","-12790532205","7943537293925","28324095577571","3288648585701","28","6685871180"
"8506","TOPIX Ex-Financials","20251106","2792.9","34.73","1.26","2758.17","538608512703308","6697397387738","531911115315570","34637203389280","192849405869984","1555","226286079129"
"8507","JPX日経インデックス400","20251106","29901.95","382.91","1.3","29519.04","441640688422422","5655400564374","435985287858048","110134835018060","147696290822935","401","186597813652"
"8508","JPX日経中小型株指数","20251106","21785.86","127.63","0.59","21658.23","7670464307920","44937061580","7625527246340","3854504677347","3520845385479","199","4314289967"
"8509","JPX日経インデックス人的資本100","20251106","23890.31","410.61","1.75","23479.7","281703966110914","4841778508931","276862187601983","278914817931598","117915570326522","101","89026986798"
"8801","東証グロース市場Core指数","20251106","793.97","-4.03","-0.51","798","5787671992","-29359752","5817031745","28938359961","7289542935","20","0"
"8802","東証スタンダード市場TOP20","20251106","1367.65","9.06","0.67","1358.59","12633333259","83737793","12549595466","63166666295","9237225043","20","0"
"A128","TOPIX Core30 バリュー","20251106","17870.38","380.15","2.17","17490.23","117609522029192","2501846401803","115107675627389","653386233495512","65812541028541","18","71377277104"
"A129","TOPIX Large70 バリュー","20251106","14981.32","148.3","1","14833.02","83452696312394","826146698135","82626549614259","154542030208137","55704484907980","54","38315692192"
"A12B","TOPIX Mid400 バリュー","20251106","14293.18","133.97","0.95","14159.21","90110502252722","844617413601","89265884839121","29067903952491","63044418005934","310","44027642452"
"A228","TOPIX Core30 グロース","20251106","14436.98","311.52","2.21","14125.46","155705524244645","3359763713020","152345760531625","676980540194108","107851899811339","23","45802027339"
"A229","TOPIX Large70 グロース","20251106","13729.68","151.26","1.11","13578.42","74470997552590","820440066161","73650557486429","169252267164976","54240894569302","44","19502292061"
"A22B","TOPIX Mid400 グロース","20251106","13369.84","-3.23","-0.02","13373.07","64530305331238","-15582485864","64545887817102","29875141357054","48265588024110","216","21547075944"
"A404","TOPIX高配当40指数","20251106","2353.54","39.81","1.72","2313.73","149098380687684","2522317356111","146576063331572","372745951719209","63350644296801","40","105695683845"
"A406","TOPIX銀行業高配当指数","20251106","1225.02","26.88","2.24","1198.14","40887805015170","897181676060","39990623339110","272585366767802","33377311507907","15","13275274091"
"A800","東証REIT Core指数","20251106","1174.96","-2.81","-0.24","1177.77","344797009730","-825148450","345622158180","1149323365767","293454068807","30","0"
"A810","東証REIT物流フォーカス指数","20251106","944.79","-4.35","-0.46","949.14","111839928960","-514936280","112354865240","745599526400","118375817184","15","0"
"A821","東証REITオフィスフォーカス指数","20251106","1140.52","-1.3","-0.11","1141.82","110435137370","-125622730","110560760100","736234249133","96828756809","15","0"
"A822","東証REIT住宅フォーカス指数","20251106","1009.82","-0.69","-0.07","1010.51","112464552050","-76852440","112541404490","749763680333","111371411725","15","0"
