"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250828","3089.78","20.04","0.65","3069.74","586017132393395","3799549074782","582217583318613","34902747611280","18966332969136","1679","259252701957"
"0002","大型","20250828","3014.56","22.24","0.74","2992.32","386494379717853","2851440391814","383642939326039","386494379717853","12820925613993","100","171125395236"
"0003","中型","20250828","3345.55","18.25","0.55","3327.3","154350585986474","841955392696","153508630593778","38879240802638","4613614243135","397","61748626995"
"0004","小型","20250828","5295.7","12.44","0.24","5283.26","45172166689068","106153290272","45066013398796","3821672308720","852997180629","1182","26378679727"
"0028","TOPIX Core30","20250828","1611.77","13.76","0.86","1598.01","241598364648642","2062390287537","239535974361105","805327882162139","149896612635190","30","115753894855"
"0029","TOPIX Large70","20250828","2996.44","16.32","0.55","2980.12","144896015069211","789050104276","144106964964935","206994307241730","48356098117239","70","55371500381"
"002A","TOPIX 100","20250828","2091.12","15.43","0.74","2075.69","386494379717853","2851440391814","383642939326039","386494379717853","184826810631675","100","171125395236"
"002B","TOPIX Mid400","20250828","3179.4","17.34","0.55","3162.06","154350585986474","841955392696","153508630593778","38879240802638","48547016671343","397","61748626995"
"002C","TOPIX 500","20250828","2409.51","16.46","0.69","2393.05","540844965704327","3693395784510","537151569919817","108821924688999","224462831885674","497","232874022231"
"002D","TOPIX Small","20250828","3587.14","8.43","0.24","3578.71","45172166689068","106153290272","45066013398796","3821672308720","12592820642570","1182","26378679727"
"002E","TOPIX 1000","20250828","2923.32","19.27","0.66","2904.05","572679138514259","3775125619249","568904012895010","58140014062361","195899956717360","985","248618117342"
"002F","TOPIX Small500","20250828","1587.61","4.08","0.26","1583.53","31834172809932","81729834740","31752442975193","6523396067609","20051685952983","488","15744095111"
"0040","水産・農林業","20250828","634.21","0.3","0.05","633.91","459351879285","214047807","459137831478","6562169704066","72429180909","7","284274267"
"0041","鉱業","20250828","741.38","28.53","4","712.85","1825678608810","70252086454","1755426522356","36513572176202","246252979781","5","771914089"
"0042","建設業","20250828","2255.82","23.4","1.05","2232.42","13917714639479","144371636530","13773343002949","18312782420367","616968754875","76","4837735638"
"0043","食料品","20250828","2380.84","9.97","0.42","2370.87","17081402273717","71563196551","17009839077165","24058313061573","717451813771","71","5827115271"
"0044","繊維製品","20250828","818.27","-2.03","-0.25","820.3","2226770366090","-5509008261","2232279374351","10603668409951","272130273331","21","1586448332"
"0045","パルプ・紙","20250828","576.72","1.17","0.2","575.55","823168935496","1677384908","821491550587","10289611693699","142732615529","8","882847100"
"0046","化学","20250828","2486.09","3.72","0.15","2482.37","27657481670003","41353553331","27616128116673","22670066942626","11124909570489","122","11754137861"
