"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250909","3122.12","-16.08","-0.51","3138.2","590673694282894","-3041185044319","593714879327213","35243060518072","18918984318593","1676","258864879317"
"0002","大型","20250909","3038.21","-17.81","-0.58","3056.02","389499046806721","-2283140468936","391782187275656","389499046806721","12820015245742","100","171069600056"
"0003","中型","20250909","3395.91","-14.6","-0.43","3410.51","155259711091090","-667475825948","155927186917037","39206997750275","4571955527901","396","61397798498"
"0004","小型","20250909","5386.04","-10.63","-0.2","5396.67","45914936385083","-90568749436","46005505134519","3891096303821","852479930112","1180","26397480762"
"0028","TOPIX Core30","20250909","1615.94","-11.28","-0.69","1627.22","242225574686488","-1691022990079","243916597676567","807418582288293","149897564917866","30","115761855880"
"0029","TOPIX Large70","20250909","3046.21","-12.25","-0.4","3058.46","147273472120233","-592117478857","147865589599090","210390674457476","48346426756718","70","55307744176"
"002A","TOPIX 100","20250909","2107.52","-12.36","-0.58","2119.88","389499046806721","-2283140468936","391782187275656","389499046806721","184813686738325","100","171069600056"
"002B","TOPIX Mid400","20250909","3227.27","-13.88","-0.43","3241.15","155259711091090","-667475825948","155927186917037","39206997750275","48108660485416","396","61397798498"
"002C","TOPIX 500","20250909","2433.41","-13.18","-0.54","2446.59","544758757897811","-2950616294883","547709374192694","109830394737462","223866547025919","496","232467398554"
"002D","TOPIX Small","20250909","3648.33","-7.2","-0.2","3655.53","45914936385083","-90568749436","46005505134519","3891096303821","12585184459071","1180","26397480762"
"002E","TOPIX 1000","20250909","2953.28","-15.43","-0.52","2968.71","577050382970184","-3015067463630","580065450433814","58702989111921","195393185156575","983","248236597778"
"002F","TOPIX Small500","20250909","1612.73","-3.21","-0.2","1615.94","32291625072373","-64451168747","32356076241120","6630723834163","20023010788420","487","15769199223"
"0040","水産・農林業","20250909","661.08","-5.53","-0.83","666.61","476932307579","-3988132494","480920440073","6813318679701","72144179910","7","283774267"
"0041","鉱業","20250909","752.57","-13.6","-1.78","766.17","1853232611257","-33493638096","1886726249353","37064652225141","246252979781","5","771914089"
"0042","建設業","20250909","2332.7","-0.15","-0.01","2332.85","14392169582202","-949485937","14393119068140","18937065239740","616975366912","76","4837764006"
"0043","食料品","20250909","2416.78","-23.74","-0.97","2440.52","17339224555479","-170301990120","17509526545598","24421443035886","717451813771","71","5827115271"
"0044","繊維製品","20250909","835.98","-1.94","-0.23","837.92","2274943919753","-5303211535","2280247131288","10833066284539","272130273331","21","1586448332"
"0045","パルプ・紙","20250909","602.37","4.66","0.78","597.71","859780202798","6659834168","853120368630","10747252534977","142732615529","8","882847100"
"0046","化学","20250909","2501.72","-12.75","-0.51","2514.47","27831419797505","-141836364941","27973256162446","22812639178283","11124918221691","122","11754140695"
"0047","医薬品","20250909","3634.26","-37.17","-1.01","3671.43","22534063913954","-230471239848","22764535153802","68285042163496","6200459739416","33","6470432610"
"0048","石油・石炭製品","20250909","2018.21","-27.4","-1.34","2045.61","2783959506428","-37785967901","2821745474329","39770850091828","137941815950","7","2846636737"
"0049","ゴム製品","20250909","5394.12","2.53","0.05","5391.59","4087647434634","1920224603","4085727210031","37160431223943","75779681012","11","802488348"
"004A","ガラス・土石製品","20250909","1568.84","1.77","0.11","1567.07","3849195634777","4341035726","3844854599051","15396782539108","245353024668","25","1081725308"
