"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250801","2948.65","5.58","0.19","2943.07","559300180844505","1050970603392","558249210241112","33271872745063","18967989072235","1681","257743975727"
"0002","大型","20250801","2871.15","-7.08","-0.25","2878.23","368108721786392","-908215902819","369016937689211","368108721786392","12820946998725","100","169975638430"
"0003","中型","20250801","3198.12","34.59","1.09","3163.53","147549010857418","1596060005332","145952950852086","37165997697083","4613615224503","397","61495020661"
"0004","小型","20250801","5110.68","43.47","0.86","5067.21","43642448200695","363126500880","43279321699815","3686017584518","853945364242","1184","26273316636"
"0028","TOPIX Core30","20250801","1526.96","-14.15","-0.92","1541.11","228887319314180","-2120676103407","231007995417587","762957731047266","149897047332228","30","115754107992"
"0029","TOPIX Large70","20250801","2879.09","25.08","0.88","2854.01","139221402472212","1212460200588","138008942271625","198887717817446","48356079375022","70","54221530438"
"002A","TOPIX 100","20250801","1991.64","-4.91","-0.25","1996.55","368108721786392","-908215902819","369016937689211","368108721786392","184827118914551","100","169975638430"
"002B","TOPIX Mid400","20250801","3039.3","32.88","1.09","3006.42","147549010857418","1596060005332","145952950852086","37165997697083","48547026997846","397","61495020661"
"002C","TOPIX 500","20250801","2297.29","3.06","0.13","2294.23","515657732643810","687844102513","514969888541297","103754070954489","224463113380920","497","231470659091"
"002D","TOPIX Small","20250801","3461.81","29.45","0.86","3432.36","43642448200695","363126500880","43279321699815","3686017584518","12606818703109","1184","26273316636"
"002E","TOPIX 1000","20250801","2789.03","4.8","0.17","2784.23","546401331022723","939581328305","545461749694418","55415956493177","195911163466308","986","247113859432"
"002F","TOPIX Small500","20250801","1531.69","12.54","0.83","1519.15","30743598378913","251737225792","30491861153121","6287034433316","20071669500220","489","15643200341"
"0040","水産・農林業","20250801","597.22","10.35","1.76","586.87","432558056706","7489681501","425068375204","6179400810080","72429180909","7","284274267"
"0041","鉱業","20250801","637.36","3.81","0.6","633.55","1569509620106","9368720340","1560140899766","31390192402111","246252979781","5","771914089"
"0042","建設業","20250801","2124.46","43.78","2.1","2080.68","13107217628673","270069309418","12837148319255","17246338985097","616968207393","76","4837726468"
"0043","食料品","20250801","2329.63","34.31","1.49","2295.32","16713996569843","246145760445","16467850809398","23540840239216","717451942437","71","5827117270"
"0044","繊維製品","20250801","829.5","7.29","0.89","822.21","2257308730878","19818367063","2237490363816","10749089194658","272130273331","21","1586448332"
"0045","パルプ・紙","20250801","549.03","5.81","1.07","543.22","783641292059","8293446310","775347845749","9795516150734","142732615529","8","882847100"
"0046","化学","20250801","2385.63","-0.12","-0.01","2385.75","26539866492378","-1406707538","26541273199916","21753988928179","11124909570489","122","11754137861"
"0047","医薬品","20250801","3478.64","-3.59","-0.1","3482.23","21587433606551","-22305924907","21609739531458","63492451783973","6205713125182","34","6473284706"
"0048","石油・石炭製品","20250801","1857.22","7.43","0.4","1849.79","2561886292006","10248977138","2551637314868","36598375600091","137941815950","7","2846636737"
"0049","ゴム製品","20250801","4734.39","72.27","1.55","4662.12","3587702685961","54763644432","3532939041530","32615478963284","75779681012","11","802488348"
"004A","ガラス・土石製品","20250801","1453.38","-14.93","-1.02","1468.31","3565519327076","-36642181586","3602161508663","14262077308306","245326410030","25","1080976056"
"004B","鉄鋼","20250801","694.99","2.18","0.31","692.81","4261090873706","13402524083","4247688349623","18526482059590","613112601065","23","1908775557"
"004C","非鉄金属","20250801","2102.18","-6.42","-0.3","2108.6","5925187049577","-18095134303","5943282183880","29625935247883","281858677184","20","1624483874"
"004D","金属製品","20250801","1523.27","29.06","1.94","1494.21","2704261798052","51589084780","2652672713272","9014205993506","177529965840","30","1262878249"
"004E","機械","20250801","3817.8","2.46","0.06","3815.34","34640651275620","22300312128","34618350963492","29607394252666","907346071806","117","8647438712"
"004F","電気機器","20250801","5083.39","-101.19","-1.95","5184.58","96966450371265","-1930232593416","98896682964682","73459432099444","1907515417472","132","27150592337"
"0050","輸送用機器","20250801","4402.11","42.62","0.98","4359.49","38875971256921","376354862006","38499616394915","90409235481212","883121252783","43","18297964322"
"0051","精密機器","20250801","10887.57","-407.16","-3.6","11294.73","10944971319285","-409307068946","11354278388231","39089183283162","100527178414","28","3242985657"
"0052","その他製品","20250801","7293.39","-11.33","-0.16","7304.72","17591155293686","-27334830093","17618490123779","43977888234216","241193109127","40","3374946094"
"0053","電気・ガス業","20250801","547.81","15.69","2.95","532.12","7232225326169","207144433373","7025080892796","31444457939867","1320197270951","23","4455885892"
"0054","陸運業","20250801","2178.54","44.95","2.11","2133.59","13616071507333","280901125774","13335170381559","36800193263062","625009660253","37","4993257598"
"0055","海運業","20250801","1825.14","-28.54","-1.54","1853.68","3343855360013","-52284540140","3396139900153","55730922666885","183210620549","6","876423471"
"0056","空運業","20250801","236.28","1.39","0.59","234.89","1952138930741","11461337225","1940677593516","97606946537044","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250801","4154.02","-27.09","-0.65","4181.11","866328566608","-5649725838","871978292447","7219404721737","20855208963","12","345171696"
"0058","情報・通信業","20250801","7021.93","82.3","1.19","6939.63","45345676052674","531429260413","44814246792261","25619026018460","645772713784","177","71899568416"
"0059","卸売業","20250801","3997.3","9.11","0.23","3988.19","38734341381192","88312294882","38646029086310","29795647216302","9690115496935","130","11393126285"
"005A","小売業","20250801","2101.7","35.2","1.7","2066.5","26715705566985","439246992455","26276458574529","18298428470537","12711498340284","146","8036638678"
"005B","銀行業","20250801","416.8","0.85","0.2","415.95","51309415866321","104425066480","51204990799841","75455023332825","123102856496451","68","22241429465"
"005C","証券、商品先物取引業","20250801","688.16","5.67","0.83","682.49","5225736765784","43004509990","5182732255795","29031870921024","7593803958779","18","4150218719"
"005D","保険業","20250801","2939.34","29.75","1.02","2909.59","18565048369981","187911240916","18377137129065","206278315222016","6316061531255","9","5794153410"
"005E","その他金融業","20250801","1063.01","15","1.43","1048.01","6318003479776","89142873599","6228860606176","30085730856074","5943516247383","21","3430512803"
"005F","不動産業","20250801","2131.23","41.01","1.96","2090.22","10444916365819","200998400094","10243917965725","20889832731637","490088797991","50","6284900588"
