"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251210","3389.02","4.1","0.12","3384.92","643290546741306","778816127699","642511730613607","38589714861506","18981617802614","1667","267764567430"
"0002","大型","20251210","3335.17","-0.01","0","3335.18","437397452666659","-2122609653","437399575276312","437397452666659","13114702134701","100","174939102751"
"0003","中型","20251210","3615.57","16.42","0.46","3599.15","160369554329201","728107454461","159641446874740","40395353735315","4435530943421","397","65814767439"
"0004","小型","20251210","5689.91","6.6","0.12","5683.31","45523539745447","52831282892","45470708462555","3890900832944","800074264583","1170","27010697239"
"0028","TOPIX Core30","20251210","1754.77","-3.91","-0.22","1758.68","271402634586855","-605807063190","272008441650045","875492369635016","154666065499274","31","117163361752"
"0029","TOPIX Large70","20251210","3406.16","12.39","0.37","3393.77","165994818079803","603684453537","165391133626267","240572200115657","48733736268301","69","57775740999"
"002A","TOPIX 100","20251210","2313.51","-0.02","0","2313.53","437397452666659","-2122609653","437399575276312","437397452666659","189061900904844","100","174939102751"
"002B","TOPIX Mid400","20251210","3436.01","15.6","0.46","3420.41","160369554329201","728107454461","159641446874740","40395353735315","46673125083431","397","65814767439"
"002C","TOPIX 500","20251210","2647.61","3.22","0.12","2644.39","597767006995859","725984844807","597041022151052","120275051709428","225776205917594","497","240753870190"
"002D","TOPIX Small","20251210","3854.16","4.47","0.12","3849.69","45523539745447","52831282892","45470708462555","3890900832944","11811518189548","1170","27010697239"
"002E","TOPIX 1000","20251210","3207.6","3.73","0.12","3203.87","631183380294124","734901753193","630448478540931","63499334033614","196777390524565","994","257137435184"
"002F","TOPIX Small500","20251210","1700.32","0.46","0.03","1699.86","33416373298265","8916908386","33407456389880","6723616357800","19653023298111","497","16383564994"
"0040","水産・農林業","20251210","721.06","7.8","1.09","713.26","511438401496","5529068328","505909333169","7306262878520","70929098947","7","270681695"
"0041","鉱業","20251210","931.09","6.3","0.68","924.79","2307276642804","15606368242","2291670274562","46145532856085","247803758257","5","808110172"
"0042","建設業","20251210","2662.84","15.33","0.58","2647.51","16015136749654","92165299511","15922971450143","21938543492677","601431020982","73","4777797069"
"0043","食料品","20251210","2472.57","-0.78","-0.03","2473.35","18041694971842","-5665990360","18047360962203","25057909683114","729673457134","72","5924020411"
"0044","繊維製品","20251210","845.87","2.22","0.26","843.65","2247180518347","5891692533","2241288825814","11235902591734","265664515430","20","1571146974"
