"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250527","2769.49","17.58","0.64","2751.91","526366367191140","3340827393647","523025539797493","31201325856025","19005914053227","1687","257348979292"
"0002","大型","20250527","2727.09","20.27","0.75","2706.82","350581113950990","2606351899927","347974762051063","350581113950990","12855504411051","100","170335642006"
"0003","中型","20250527","2954.69","11.74","0.4","2942.95","136041412451560","540496288751","135500916162809","34181259409940","4604253299125","398","60775900197"
"0004","小型","20250527","4608.9","22.5","0.49","4586.4","39743840788589","193979204968","39549861583622","3342627484322","862328896881","1189","26237437089"
"0028","TOPIX Core30","20250527","1462.37","13.94","0.96","1448.43","219472458402024","2091164931150","217381293470874","731574861340080","150080347394632","30","115825067581"
"0029","TOPIX Large70","20250527","2697.32","10.6","0.39","2686.72","131108655548966","515186968778","130593468580188","187298079355666","48606939750029","70","54510574425"
"002A","TOPIX 100","20250527","1891.71","14.07","0.75","1877.64","350581113950990","2606351899927","347974762051063","350581113950990","185325299505884","100","170335642006"
"002B","TOPIX Mid400","20250527","2807.96","11.16","0.4","2796.8","136041412451560","540496288751","135500916162809","34181259409940","48448515608846","398","60775900197"
"002C","TOPIX 500","20250527","2165","14","0.65","2151","486622526402550","3146848188679","483475678213871","97715366747500","224767391949049","498","231111542203"
"002D","TOPIX Small","20250527","3121.92","15.24","0.49","3106.68","39743840788589","193979204968","39549861583622","3342627484322","12730585024116","1189","26237437089"
"002E","TOPIX 1000","20250527","2621.38","16.71","0.64","2604.67","514350907067078","3279885802980","511071021264099","52007169572000","196213646907657","989","246642293076"
"002F","TOPIX Small500","20250527","1374.84","6.59","0.48","1368.25","27728380664528","133037614301","27595343050227","5647328037582","20168404449178","491","15530750873"
"0040","水産・農林業","20250527","563.63","1.49","0.27","562.14","408232355539","1081943347","407150412192","5831890793418","72429180909","7","284274267"
"0041","鉱業","20250527","570.04","3.45","0.61","566.59","1282296503564","7773703797","1274522799767","25645930071289","224947461393","5","708957286"
"0042","建設業","20250527","1936.12","-8.08","-0.42","1944.2","11962562474317","-49936933724","12012499408042","15740213781996","617863266675","76","4618106256"
"0043","食料品","20250527","2281.71","3.67","0.16","2278.04","16356272770823","26320310562","16329952460261","23037003902568","716841411976","71","5811183452"
"0044","繊維製品","20250527","775","7.67","1","767.33","2117637068543","20932697319","2096704371224","10083986040682","273245145454","21","1589113072"
"0045","パルプ・紙","20250527","499.5","-0.41","-0.08","499.91","716083468671","-588946047","716672414718","8951043358386","143359382066","8","865932100"
"0046","化学","20250527","2275.02","12.3","0.54","2262.72","25263941738995","136574884930","25127366854064","20539790031703","11104931243081","123","11689371574"
"0047","医薬品","20250527","3394.21","6.42","0.19","3387.79","21397125748991","40468298825","21356657450166","62932722791150","6304008150516","34","6534746900"
"0048","石油・石炭製品","20250527","1591.98","-3.16","-0.2","1595.14","2386552242096","-4737159262","2391289401358","34093603458513","149910618117","7","3122398897"
"0049","ゴム製品","20250527","4544.03","38.1","0.85","4505.93","3367057966644","28225869842","3338832096802","30609617878580","74098559339","11","774651905"
"004A","ガラス・土石製品","20250527","1310.54","8.81","0.68","1301.73","3196874011350","21494472559","3175379538791","12787496045400","243935867625","25","1068899404"
"004B","鉄鋼","20250527","673.61","-2.8","-0.41","676.41","4131844809679","-17145096163","4148989905842","17964542650778","613387844011","23","1841719688"
"004C","非鉄金属","20250527","1643.98","23.24","1.43","1620.74","4630711282456","65444876074","4565266406383","23153556412282","281677454840","20","1622851567"
"004D","金属製品","20250527","1443.89","1.35","0.09","1442.54","2572401484514","2394771343","2570006713170","8574671615045","178157251844","30","1264673487"
"004E","機械","20250527","3387","39.65","1.18","3347.35","30785612741358","360424353758","30425188387600","26312489522528","908934390622","117","8659711003"
"004F","電気機器","20250527","4823.33","39.5","0.83","4783.83","91911121833882","752748206187","91158373627694","69629637752941","1905553826576","132","26990763770"
"0050","輸送用機器","20250527","4248.8","29.18","0.69","4219.62","37498546076450","257575441966","37240970634484","85223968355568","882567521290","44","18233942987"
"0051","精密機器","20250527","10965.27","-22.04","-0.2","10987.31","11057244624860","-22223674637","11079468299497","40952757869851","100838779927","27","3172351565"
"0052","その他製品","20250527","7009.95","107.69","1.56","6902.26","16841916740725","258730615233","16583186125492","42104791851811","240257199688","40","3155471225"
"0053","電気・ガス業","20250527","483.18","-0.25","-0.05","483.43","6446756128734","-3347334085","6450103462819","28029374472758","1334234270212","23","4471503138"
"0054","陸運業","20250527","2019.69","-4.96","-0.24","2024.65","12663750884447","-31086898637","12694837783083","33325660222228","627013441207","38","5003360811"
"0055","海運業","20250527","1848.2","8.12","0.44","1840.08","3472539222680","15257867780","3457281354900","57875653711338","187887599076","6","892558311"
"0056","空運業","20250527","228.81","-0.46","-0.2","229.27","1890452473115","-3803860870","1894256333984","94522623655725","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250527","3815.26","13.62","0.36","3801.64","869560654956","3104243115","866456411841","6688928115047","22791657388","13","361071034"
