"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"8200","TOPIX グロース","20250730","3520.15","9.43","0.27","3510.72","266857990142137","714568762347","266143421379791","26213947951094","75808774117427","1018","113061820905"
"822C","TOPIX 500 グロース","20250730","3540.21","8.51","0.24","3531.7","245945981865655","590563305199","245355418560457","94232176960021","69472238366913","261","100113834513"
"822D","TOPIX Small グロース","20250730","3338.72","19.8","0.6","3318.92","20912008276482","124005457148","20788002819334","2762484580777","6263480995493","757","12947986393"
"8500","東証配当フォーカス100指数","20250730","3162.23","22.87","0.73","3139.36","235965346465080","1706683820138","234258662644942","235965346465080","74619891954126","100","155427874533"
"8501","東証REITオフィス指数","20250730","1866.04","13.83","0.75","1852.21","6502813684825","48207641830","6454606042995","30965779451548","3484812589073","21","4835477480"
"8502","東証REIT住宅指数","20250730","2911.05","26.82","0.93","2884.23","1816389792994","16734500820","1799655292174","18163897929940","623962901710","10","1487538743"
"8503","東証REIT商業・物流等指数","20250730","2228.25","11.47","0.52","2216.78","6578080089690","33853799276","6544226290414","25300308037269","2952127342025","26","5999992236"
"8506","TOPIX Ex-Financials","20250730","2445.84","8.41","0.35","2437.43","471002867660507","1619332897051","469383534763457","30153832756755","192572730789597","1562","220064253544"
"8507","JPX日経インデックス400","20250730","26308.68","95.31","0.36","26213.37","379757929447249","1375702140319","378382227306930","96141247961329","144347007012028","395","180459308110"
"8508","JPX日経中小型株指数","20250730","20838.01","129.34","0.62","20708.67","7201126736010","44687939961","7156438796049","3692885505646","3455765620775","195","4361552049"
"8509","JPX日経インデックス人的資本100","20250730","20693.1","158.29","0.77","20534.81","290798498881643","2224541874634","288573957007010","290798498881643","140529187288898","100","92530038926"
"8801","東証グロース市場Core指数","20250730","907.37","1.58","0.17","905.79","6153439482","10700846","6142738636","34185774902","6781621737","18","0"
"8802","東証スタンダード市場TOP20","20250730","1357.55","2.42","0.18","1355.13","12646114748","22583539","12623531209","66558498673","9315384036","19","0"
"A128","TOPIX Core30 バリュー","20250730","14948.01","51.13","0.34","14896.88","98742542197669","337760407081","98404781790589","548569678875941","66057331654429","18","50079660389"
"A129","TOPIX Large70 バリュー","20250730","13387.79","99.98","0.75","13287.81","79122443995305","590876463229","78531567532076","155142047049618","59100438433376","51","37724809428"
"A12B","TOPIX Mid400 バリュー","20250730","12702.73","65.96","0.52","12636.77","86278441580532","447966563578","85830475016954","27564997310074","67921191704310","313","42807058172"
"A228","TOPIX Core30 グロース","20250730","12863.7","15.7","0.12","12848","130500242221276","159288332107","130340953889168","543751009255315","101448466717463","24","65669427179"
"A229","TOPIX Large70 グロース","20250730","11629.71","-23.84","-0.2","11653.55","57668837343738","-118189991607","57787027335345","151760098272996","49587499712483","38","16329635112"
"A22B","TOPIX Mid400 グロース","20250730","12379.76","117.74","0.96","12262.02","57776902300641","549464964698","57227437335943","29033619246553","46670465261789","199","18114772222"
"A404","TOPIX高配当40指数","20250730","2119.6","9.58","0.45","2110.02","133672034748700","604367770360","133067666978341","334180086871751","63064779833218","40","105712543163"
"A406","TOPIX銀行業高配当指数","20250730","1096.7","8.24","0.76","1088.46","36643985098523","275399350332","36368585748191","244293233990151","33412853325683","15","13528612355"
"A800","東証REIT Core指数","20250730","1091.48","6.29","0.58","1085.19","320300099400","1845315950","318454783450","1067666998000","293454068807","30","0"
"A810","東証REIT物流フォーカス指数","20250730","865.1","6.67","0.78","858.43","100774023800","775933070","99998090730","719814455714","116488914111","14","0"
"A821","東証REITオフィスフォーカス指数","20250730","1081.25","5.85","0.54","1075.4","118794919300","642902190","118152017110","791966128667","109867784900","15","0"
"A822","東証REIT住宅フォーカス指数","20250730","937.91","8.99","0.97","928.92","98751067360","946535320","97804532040","658340449067","105288608065","15","0"
"A823","東証REITホテル＆リテールフォーカス指数","20250730","1036.07","3.66","0.35","1032.41","107189038460","379095090","106809943370","714593589733","103457231585","15","0"
