"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250829","3075.18","-14.6","-0.47","3089.78","583245410608683","-2771721784712","586017132393395","34716988726707","18966198099054","1680","259205768105"
"0002","大型","20250829","2997.5","-17.06","-0.57","3014.56","384279455916599","-2214923801254","386494379717853","384279455916599","12820011448572","100","171069546493"
"0003","中型","20250829","3333.5","-12.05","-0.36","3345.55","153795104207523","-555481778951","154350585986474","38739320959074","4613620868051","397","61748423498"
"0004","小型","20250829","5292.83","-2.87","-0.05","5295.7","45170850484561","-1316204507","45172166689068","3818330556599","853434691004","1183","26387798114"
"0028","TOPIX Core30","20250829","1600.86","-10.91","-0.68","1611.77","239964350738758","-1634013909884","241598364648642","799881169129192","149897564917866","30","115761855880"
"0029","TOPIX Large70","20250829","2985.02","-11.42","-0.38","2996.44","144315105177841","-580909891370","144896015069211","206164435968344","48346388948760","70","55307690613"
"002A","TOPIX 100","20250829","2079.28","-11.84","-0.57","2091.12","384279455916599","-2214923801254","386494379717853","384279455916599","184813631998217","100","171069546493"
"002B","TOPIX Mid400","20250829","3167.96","-11.44","-0.36","3179.4","153795104207523","-555481778951","154350585986474","38739320959074","48547086382400","397","61748423498"
"002C","TOPIX 500","20250829","2397.29","-12.22","-0.51","2409.51","538074560124122","-2770405580205","540844965704327","108264499018938","224451486657329","497","232817969991"
"002D","TOPIX Small","20250829","3585.19","-1.95","-0.05","3587.14","45170850484561","-1316204507","45172166689068","3818330556599","12599279620171","1183","26387798114"
"002E","TOPIX 1000","20250829","2909.2","-14.12","-0.48","2923.32","569881264271515","-2797874242744","572679138514259","57855965915890","195889106386013","985","248561309395"
"002F","TOPIX Small500","20250829","1586.45","-1.16","-0.07","1587.61","31806704147394","-27468662539","31834172809932","6517767243318","20048925430219","488","15743339403"
"0040","水産・農林業","20250829","628.51","-5.7","-0.9","634.21","453430535165","-5921344119","459351879285","6477579073789","72144179910","7","283774267"
"0041","鉱業","20250829","737.48","-3.9","-0.53","741.38","1816076527971","-9602080840","1825678608810","36321530559412","246252979781","5","771914089"
"0042","建設業","20250829","2261.98","6.16","0.27","2255.82","13955739386484","38024747005","13917714639479","18362814982216","616968754875","76","4837735638"
"0043","食料品","20250829","2359.68","-21.16","-0.89","2380.84","16929569379730","-151832893987","17081402273717","23844463915112","717451813771","71","5827115271"
"0044","繊維製品","20250829","817.61","-0.66","-0.08","818.27","2224974497643","-1795868446","2226770366090","10595116655445","272130273331","21","1586448332"
"0045","パルプ・紙","20250829","581.35","4.63","0.8","576.72","829782922911","6613987415","823168935496","10372286536390","142732615529","8","882847100"
"0046","化学","20250829","2477.07","-9.02","-0.36","2486.09","27557228094945","-100253575058","27657481670003","22587891881103","11124918221691","122","11754140695"
"0047","医薬品","20250829","3465.66","-18.23","-0.52","3483.89","21488678431059","-112991829483","21601670260542","65117207366846","6200459739416","33","6470432610"
"0048","石油・石炭製品","20250829","1996.3","-5.26","-0.26","2001.56","2753729632933","-7259488817","2760989121751","39338994756192","137941815950","7","2846636737"
"0049","ゴム製品","20250829","5159.01","-0.7","-0.01","5159.71","3909478058655","-536566217","3910014624872","35540709624136","75779681012","11","802488348"
"004A","ガラス・土石製品","20250829","1498.97","-1.53","-0.1","1500.5","3677769673152","-3342965908","3681112639060","14711078692608","245353024668","25","1081725308"
"004B","鉄鋼","20250829","744.06","-0.6","-0.08","744.66","4561912527716","-3712741018","4565625268734","19834402294416","613112601065","23","1908775557"
"004C","非鉄金属","20250829","2498.15","49.38","2.02","2448.77","7041225770695","139177240653","6902048530042","35206128853475","281857637650","20","1624481235"
"004D","金属製品","20250829","1614.3","-9.64","-0.59","1623.94","2865865736819","-17118598535","2882984335354","9552885789396","177530166170","30","1262879159"
"004E","機械","20250829","3853.54","-20.94","-0.54","3874.48","34962119085060","-192876810145","35154995895204","29882153064154","907273405190","117","8645927729"
"004F","電気機器","20250829","5191.18","-36.9","-0.71","5228.08","98991276421593","-703718850203","99694995271796","75565859863811","1906913996391","131","27139668339"
"0050","輸送用機器","20250829","4592.43","-53.66","-1.15","4646.09","40556735628955","-473882609270","41030618238225","94317989834779","883121211520","43","18297963755"
"0051","精密機器","20250829","11517.34","-17.26","-0.15","11534.6","11577264408938","-18136146696","11595400555634","41347372889063","100520279786","28","3242545276"
"0052","その他製品","20250829","7650.62","-63.28","-0.82","7713.9","18452767754475","-152625875684","18605393630159","46131919386187","241193124856","40","3382292534"
"0053","電気・ガス業","20250829","601.58","-5.92","-0.97","607.5","7942028790603","-78178520383","8020207310986","34530559959144","1320198797284","23","4455895893"
"0054","陸運業","20250829","2286.46","-15","-0.65","2301.46","14290569745741","-93801038089","14384370783829","38623161474975","625009660253","37","4993257598"
"0055","海運業","20250829","1842.48","-17.35","-0.93","1859.83","3375670403243","-31734219945","3407404623188","56261173387381","183213066596","6","876432921"
"0056","空運業","20250829","246.77","-1.42","-0.57","248.19","2038868928863","-11692701926","2050561630789","101943446443144","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250829","4246.46","-22.32","-0.52","4268.78","877220542134","-13042289833","890262831968","7310171184453","20657680642","12","342397996"
"0058","情報・通信業","20250829","7466.88","6.88","0.09","7460","48186308534866","11639335547","48174669199319","27223903127043","645333879232","177","71842753128"
"0059","卸売業","20250829","4332.44","29.49","0.69","4302.95","41978826443458","283355084607","41695471358851","32291404956507","9689409482681","130","11392241779"
"005A","小売業","20250829","2106.64","-22.35","-1.05","2128.99","26768580969694","-294082004121","27062662973815","18334644499791","12706751815343","146","9543045179"
"005B","銀行業","20250829","446.6","-1.62","-0.36","448.22","54978128307253","-199416762626","55177545069879","80850188687137","123102589072204","68","22241400337"
"005C","証券、商品先物取引業","20250829","752.9","-1.31","-0.17","754.21","5717440445325","-9907880872","5727348326197","31763558029581","7593923488296","18","4150231702"
"005D","保険業","20250829","3049.19","-39.65","-1.28","3088.84","19314918584678","-194376218344","19509294803022","193149185846777","6334433325755","10","5818250017"
"005E","その他金融業","20250829","1132.17","-6.67","-0.59","1138.84","6729085005551","-39622489967","6768707495518","32043261931196","5943542821451","21","3430530799"
"005F","不動産業","20250829","2307.25","-31.1","-1.33","2338.35","11307714492576","-152271445059","11459985937635","22615428985152","490093857327","50","6290442728"
"0060","サービス業","20250829","3258.84","-22.59","-0.69","3281.43","25134424939799","-176798364349","25311223304148","15515077123333","771270208353","162","10509875430"
"0070","東証グロース市場250指数","20250829","780.32","4.26","0.55","776.06","3017397283785","-72861717731","3090259001516","1066218121479","3866882018324","283","3922390779"
"0075","REIT","20250829","1917.89","-6.34","-0.33","1924.23","15456987651190","-59969075505","15516956726695","27117522195070","8059365547755","57","12909273865"
"0080","TOPIX-17 食品","20250829","405.04","-3.63","-0.89","408.67","17382999914895","-157754238106","17540754153001","22285897326788","4291670807035","78","6110889538"
"0081","TOPIX-17 エネルギー資源","20250829","249.13","-0.92","-0.37","250.05","4569806160904","-16861569657","4586667730561","38081718007534","1834299046456","12","3618550826"
"0082","TOPIX-17 建設・資材","20250829","416.44","0.35","0.08","416.09","20499374796455","17563182562","20481811613893","15648377707218","4922574416828","131","7182340105"
"0083","TOPIX-17 素材・化学","20250829","319.5","-1","-0.31","320.5","30611985515500","-95435456089","30707420971589","20272838089735","9581176059579","151","14223436127"
"0084","TOPIX-17 医薬品","20250829","267.92","-1.41","-0.52","269.33","21488678431059","-112991829483","21601670260542","65117207366846","8020679269402","33","6470432610"
"0085","TOPIX-17 自動車・輸送機","20250829","343.88","-3.67","-1.06","347.55","44466213687610","-474419175487","44940632863097","82344840162240","12930568497546","54","19100452104"
"0086","TOPIX-17 鉄鋼・非鉄","20250829","405.77","4.74","1.18","401.03","11603138298411","135464499635","11467673798775","26984042554443","2859563894079","43","3533256792"
"0087","TOPIX-17 機械","20250829","759.43","-4.13","-0.54","763.56","34962119085060","-192876810145","35154995895204","29882153064154","4603718447330","117","8645927729"
"0088","TOPIX-17 電機・精密","20250829","406.45","-2.65","-0.65","409.1","110568540830531","-721854996899","111290395827429","69539962786497","27203604562345","159","30382213615"
"0089","TOPIX-17 情報通信・サービスその他","20250829","442.85","-1.37","-0.31","444.22","91773501229139","-317784904486","92091286133625","24214644123783","20723189136459","379","85734921092"
"008A","TOPIX-17 電力・ガス","20250829","99.62","-0.98","-0.97","100.6","7942028790603","-78178520383","8020207310986","34530559959144","7972125521970","23","4455895893"
"008B","TOPIX-17 運輸・物流","20250829","223.7","-1.55","-0.69","225.25","20582329619981","-150270249792","20732599869773","36109350210493","9200678894652","57","6881309136"
"008C","TOPIX-17 商社・卸売","20250829","1052.69","7.16","0.68","1045.53","41978826443458","283355084607","41695471358851","32291404956507","3987754331503","130","11392241779"
"008D","TOPIX-17 小売","20250829","365.96","-3.88","-1.05","369.84","26768580969694","-294082004121","27062662973815","18334644499791","7314590246113","146","9543045179"
"008E","TOPIX-17 銀行","20250829","287.21","-1.04","-0.36","288.25","54978128307253","-199416762626","55177545069879","80850188687137","19141929739386","68","22241400337"
"008F","TOPIX-17 金融（除く銀行）","20250829","320.65","-3.03","-0.94","323.68","31761444035553","-243906589184","32005350624737","64819273541946","9905453910159","49","13399012518"
"0090","TOPIX-17 不動産","20250829","482.6","-6.51","-1.33","489.11","11307714492576","-152271445059","11459985937635","22615428985152","2343071973859","50","6290442728"
"0099","東証インフラファンド指数","20250829","718.82","3.13","0.44","715.69","90425508830","393229730","90032279100","1808510176600","125797656287","5","150433025"
"0503","JPXプライム150指数","20250829","1325.78","-6.77","-0.51","1332.55","341533750591049","-813802996264","342347553587313","227689167060699","257609296383144","150","148553887966"
"1000","TOPIX レバレッジ（2倍）指数","20250829","108586.06","-1030.39","-0.94","109616.45","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20250829","1444.8","6.76","0.47","1438.04","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20250829","127.57","1.19","0.94","126.38","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20250829","49598.17","-450.44","-0.9","50048.61","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20250829","2367.61","10.61","0.45","2357","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20250829","366.35","3.27","0.9","363.08","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20250829","7423.15","24.42","0.33","7398.73","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20250829","8504.07","-56.5","-0.66","8560.57","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20250829","4289.85","28.13","0.66","4261.72","0","0","0","0","0","-","0"
"4030","TOPIX Micro Cap","20250829","13583.76","-1.42","-0.01","13585.18","13364146337167","26152458032","13337993879136","1922898753549","9838329479044","695","10644458710"
"5000","東証プライム市場指数","20250829","1582.99","-7.52","-0.47","1590.51","582830574394640","-2827257027603","585657831422243","36110940173150","368182344339249","1614","257817669298"
"5001","東証スタンダード市場指数","20250829","1491.47","1.61","0.11","1489.86","12612929192574","14550038056","12598379154518","804395994424","8456721563337","1568","13499747071"
"5002","東証グロース市場指数","20250829","1017.04","6.16","0.61","1010.88","3637574278621","10117066105","3627457212516","602247397123","3576642665641","604","5350960367"
"5003","東証プライム市場コンポジット指数","20250829","1582.63","-7.5","-0.47","1590.13","582972550363605","-2826746821629","585799297185233","36075034057154","368357115519496","1616","257891746474"
"8000","旧東証株価指数","20250829","3176.32","-13.99","-0.44","3190.31","1052155395752409","-4562293069153","1056717688821562","62628297366215","33124976656637","1680","476302048123"
"8100","TOPIX バリュー","20250829","3718.75","-13.25","-0.36","3732","309756438131234","-1140858714004","310897296845238","26384705121911","83295759024180","1174","144877961853"
"812C","TOPIX 500 バリュー","20250829","3602.2","-13.79","-0.38","3615.99","286481153674441","-1127745643816","287608899318256","74995066406922","79529591456125","382","131539973010"
"812D","TOPIX Small バリュー","20250829","5071.23","-1.4","-0.03","5072.63","23275284456793","-13113070189","23288397526981","2938798542524","4589668906214","792","13337988843"
"8200","TOPIX グロース","20250829","3597.58","-21.9","-0.61","3619.48","273488672928529","-1630863573911","275119536502440","26812614992993","76020084604402","1020","114327639026"
"822C","TOPIX 500 グロース","20250829","3611.31","-23.63","-0.65","3634.94","251593108000771","-1642660437402","253235768438173","96395826820219","69668020779088","261","101277829969"
"822D","TOPIX Small グロース","20250829","3487.33","-2.88","-0.08","3490.21","21895564927758","11796863491","21883768064267","2884791163078","6278612067031","759","13049809057"
"8500","東証配当フォーカス100指数","20250829","3337.03","-12.45","-0.37","3349.48","287172457855033","-1070900434248","288243358289281","287172457855033","86056278176878","100","136141319529"
"8501","東証REITオフィス指数","20250829","1921.55","-14.07","-0.73","1935.62","6001646898845","-50720060970","6052366959815","30008234494225","3123331562391","20","4734671870"
"8502","東証REIT住宅指数","20250829","3028.77","0.06","0","3028.71","1913082617515","37184535","1913045432980","19130826175150","631636719849","10","1502068235"
"8503","東証REIT商業・物流等指数","20250829","2297.57","-2.19","-0.1","2299.76","7542258134830","-9286199070","7551544333900","27934289388259","3282716817927","27","6672533760"
"8506","TOPIX Ex-Financials","20250829","2563.36","-11.71","-0.45","2575.07","496505838265876","-2328398432903","498834236698779","31766208462308","193693319123741","1563","223565355251"
"8507","JPX日経インデックス400","20250829","27581.93","-125.44","-0.45","27707.37","405387818174729","4445912595894","400941905578835","101346954543682","146975895817122","400","181959715266"
"8508","JPX日経中小型株指数","20250829","21986.06","55.7","0.25","21930.36","7814820422615","234262904627","7580557517988","3907410211307","3554444106340","200","4244670248"
"8509","JPX日経インデックス人的資本100","20250829","21797.48","-104.41","-0.48","21901.89","253962660952762","-54237400435382","308200061388144","253962660952762","116510126295266","100","77525788192"
"8801","東証グロース市場Core指数","20250829","921.06","-3.79","-0.41","924.85","6246298605","-25659367","6271957972","34701658918","6781621737","18","0"
"8802","東証スタンダード市場TOP20","20250829","1395.02","-10.11","-0.72","1405.13","12995155348","-94186183","13089341531","68395554464","9315384036","19","0"
"A128","TOPIX Core30 バリュー","20250829","16407.38","-53.7","-0.33","16461.08","108382424037824","-354670913523","108737094951347","602124577987910","66057099426118","18","50079546721"
"A129","TOPIX Large70 バリュー","20250829","14393.09","-73.5","-0.51","14466.59","84749507281702","-462090186742","85211597468444","166175504473926","58882093914137","51","38231080420"
"A12B","TOPIX Mid400 バリュー","20250829","13656.16","-45.25","-0.33","13701.41","93349222354915","-310984543551","93660206898465","29824032701251","68356867173441","313","43229345869"
"A228","TOPIX Core30 グロース","20250829","12970.1","-126.25","-0.96","13096.35","131581926701010","-1279342996362","132861269697373","548258027920876","101450236699317","24","65682309159"
"A229","TOPIX Large70 グロース","20250829","11958.25","-23.89","-0.2","11982.14","59565299446320","-118820205664","59684119651985","156750788016632","49811068896158","38","17076443181"
"A22B","TOPIX Mid400 グロース","20250829","12855.78","-52.39","-0.41","12908.17","60445881853440","-244497235375","60690379088816","30374815001729","47018461744692","199","18519077629"
"A404","TOPIX高配当40指数","20250829","2269.95","-9.83","-0.43","2279.78","142850008139486","-616340629231","143466348768718","357125020348716","62930895985863","40","105658678650"
"A406","TOPIX銀行業高配当指数","20250829","1184.91","-4.16","-0.35","1189.07","37745198054553","-132687064962","37877885119515","251634653697018","31854973843633","15","12700543666"
"A800","東証REIT Core指数","20250829","1126.35","-3.1","-0.27","1129.45","330531786090","-909688640","331441474730","1101772620300","293454068807","30","0"
"A810","東証REIT物流フォーカス指数","20250829","891.73","-0.22","-0.02","891.95","105559781130","-25610180","105585391310","703731874200","118375817184","15","0"
"A821","東証REITオフィスフォーカス指数","20250829","1113.85","-9.23","-0.82","1123.08","107853133300","-892994300","108746127600","719020888667","96828756809","15","0"
"A822","東証REIT住宅フォーカス指数","20250829","974.02","-0.94","-0.1","974.96","108477597620","-105059090","108582656710","723183984133","111371411725","15","0"
"A823","東証REITホテル＆リテールフォーカス指数","20250829","1065.33","-0.68","-0.06","1066.01","109179440000","-69802420","109249242420","727862933333","102484197188","15","0"
