"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250812","3066.37","42.16","1.39","3024.21","581596363031558","7996686943275","573599676088283","34618831132831","18966946800189","1680","257733002121"
"0002","大型","20250812","2997.45","51.26","1.74","2946.19","384301403679279","6572606794787","377728796884492","384301403679279","12820943168936","100","169975609232"
"0003","中型","20250812","3310.16","28.94","0.88","3281.22","152718008940152","1335367961984","151382640978168","38468012327494","4613614685891","397","61495013857"
"0004","小型","20250812","5223.78","10.39","0.2","5213.39","44576950412126","88712186504","44488238225622","3768127676427","853346499967","1183","26262379033"
"0028","TOPIX Core30","20250812","1605.21","32.62","2.07","1572.59","240615692328546","4889155405715","235726536922831","802052307761819","149896975191339","30","115754078794"
"0029","TOPIX Large70","20250812","2971.41","34.81","1.19","2936.6","143685711350734","1683451389072","142002259961662","205265301929619","48356079375022","70","54221530438"
"002A","TOPIX 100","20250812","2079.25","35.56","1.74","2043.69","384301403679279","6572606794787","377728796884492","384301403679279","184827063704208","100","169975609232"
"002B","TOPIX Mid400","20250812","3145.78","27.51","0.88","3118.27","152718008940152","1335367961984","151382640978168","38468012327494","48547021330263","397","61495013857"
"002C","TOPIX 500","20250812","2392.46","35.23","1.49","2357.23","537019412619431","7907974756771","529111437862661","108052195698075","224463058104049","497","231470623088"
"002D","TOPIX Small","20250812","3538.42","7.04","0.2","3531.38","44576950412126","88712186504","44488238225622","3768127676427","12597977653483","1183","26262379033"
"002E","TOPIX 1000","20250812","2901.29","40.65","1.42","2860.64","568363791433034","7963204965932","560400586467102","57701907759699","195900143620742","985","247102882328"
"002F","TOPIX Small500","20250812","1563.18","2.76","0.18","1560.42","31344378813603","55230209161","31289148604441","6423028445410","20051686568344","488","15632259239"
"0040","水産・農林業","20250812","619.53","-2.03","-0.33","621.56","448721196693","-1471498136","450192694829","6410302809902","72429180909","7","284274267"
"0041","鉱業","20250812","700.28","40.93","6.21","659.35","1724466785469","100805090630","1623661694838","34489335709371","246252979781","5","771914089"
"0042","建設業","20250812","2237.05","27.12","1.23","2209.93","13801880888142","167294195690","13634586692452","18160369589660","616968207393","76","4837726468"
"0043","食料品","20250812","2389.73","6.47","0.27","2383.26","17145172796255","46408602172","17098764194084","24148130698951","717451813771","71","5827115271"
"0044","繊維製品","20250812","808.83","8.15","1.02","800.68","2201082919046","22199673732","2178883245313","10481347233551","272130273331","21","1586448332"
"0045","パルプ・紙","20250812","558.13","-1.92","-0.34","560.05","796640407127","-2730332663","799370739790","9958005089091","142732615529","8","882847100"
"0046","化学","20250812","2444.29","-0.47","-0.02","2444.76","27192451656594","-5296495905","27197748152499","22288894800487","11124909570489","122","11754137861"
"0047","医薬品","20250812","3457.34","39.35","1.15","3417.99","21455276167069","244227104366","21211049062702","63103753432555","6205713125182","34","6473284706"
"0048","石油・石炭製品","20250812","1914.44","-11.98","-0.62","1926.42","2640806439412","-16528645295","2657335084707","37725806277319","137941815950","7","2846636737"
"0049","ゴム製品","20250812","5041.91","96.05","1.94","4945.86","3820746986898","72792019094","3747954967804","34734063517258","75779681012","11","802488348"
"004A","ガラス・土石製品","20250812","1493.9","10.14","0.68","1483.76","3664935171887","24891719862","3640043452025","14659740687547","245326410030","25","1080976056"
"004B","鉄鋼","20250812","715.72","3.04","0.43","712.68","4388197740692","18662664504","4369535076188","19079120611706","613112601065","23","1908775557"
"004C","非鉄金属","20250812","2240.77","47.22","2.15","2193.55","6315798195441","133088989504","6182709205936","31578990977204","281858677184","20","1624483874"
"004D","金属製品","20250812","1600.46","7.48","0.47","1592.98","2841291029491","13275406650","2828015622841","9470970098305","177529965840","30","1262878249"
"004E","機械","20250812","3961.29","35.91","0.91","3925.38","35942620285161","325854023242","35616766261919","30720188277915","907346041216","117","8647438198"
"004F","電気機器","20250812","5224.25","65.19","1.26","5159.06","99621988989071","1243120430805","98378868558266","76047319838986","1906913209529","131","27139651416"
"0050","輸送用機器","20250812","4577.18","95.85","2.14","4481.33","40422090928714","846495759513","39575595169201","94004862624916","883121211520","43","18297963755"
"0051","精密機器","20250812","11585.4","86.18","0.75","11499.22","11646468721469","86636349663","11559832371805","41594531148103","100527082379","28","3242982461"
"0052","その他製品","20250812","7902.68","-54.29","-0.68","7956.97","19060720510852","-130943307881","19191663818734","47651801277130","241193124856","40","3374948684"
"0053","電気・ガス業","20250812","585.24","5.77","1","579.47","7726370470010","76157631294","7650212838716","33592915087001","1320197325267","23","4455886279"
"0054","陸運業","20250812","2269.44","-6.16","-0.27","2275.6","14184233242807","-38462991632","14222696234439","38335765521099","625009660253","37","4993257598"
"0055","海運業","20250812","1836.4","6.22","0.34","1830.18","3364473370516","11384930283","3353088440233","56074556175272","183210620549","6","876423471"
"0056","空運業","20250812","247.09","1.6","0.65","245.49","2041483612338","13212753253","2028270859085","102074180616900","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250812","4274.07","-1.36","-0.03","4275.43","891367118744","-283374048","891650492792","7428059322865","20855208963","12","345171696"
"0058","情報・通信業","20250812","7511.24","174.33","2.38","7336.91","48505533226719","1125733953815","47379799272904","27404256060293","645772783039","177","71899568944"
"0059","卸売業","20250812","4203.22","64.1","1.55","4139.12","40729706743895","621186656820","40108520087076","31330543649150","9690115419879","130","11393126126"
"005A","小売業","20250812","2177.17","31.54","1.47","2145.63","27675155417172","400961660986","27274193756186","18955585902172","12711498340284","146","8036638678"
"005B","銀行業","20250812","434.52","12.72","3.02","421.8","53490593896168","1565571395869","51925022500299","78662638082600","123102587756300","68","22241400267"
"005C","証券、商品先物取引業","20250812","729.5","15.94","2.23","713.56","5539710620942","121048223419","5418662397523","30776170116346","7593803958779","18","4150218719"
"005D","保険業","20250812","3030.57","38.41","1.28","2992.16","19141282662180","242647043229","18898635618951","212680918468664","6316061531255","9","5794153410"
"005E","その他金融業","20250812","1120.57","10.65","0.96","1109.92","6660094629235","63298561547","6596796067687","31714736329689","5943513737525","21","3430512114"
"005F","不動産業","20250812","2305.9","28.96","1.27","2276.94","11300948322268","141934397803","11159013924465","22601896644536","490088907274","50","6284900721"
"0060","サービス業","20250812","3268.83","60.09","1.87","3208.74","25214051883081","463514351089","24750537531992","15564229557457","771348340207","162","10515552048"
"0070","東証グロース市場250指数","20250812","778.02","-2.51","-0.32","780.53","3098092107206","3382576310","3094709530895","1098614222413","3982002675638","282","3894490650"
"0075","REIT","20250812","1907.56","10.98","0.58","1896.58","15382472176140","88477206765","15293994969375","26986793291474","8063967410980","57","12375572630"
