"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250814","3057.95","-33.96","-1.1","3091.91","579999625126224","-6440664891608","586440290017832","34523787209894","18966948616370","1680","257733003441"
"0002","大型","20250814","2986.52","-38.71","-1.28","3025.23","382899677416160","-4962789673432","387862467089592","382899677416160","12820945026875","100","169975610552"
"0003","中型","20250814","3306.83","-27.03","-0.81","3333.86","152564241756731","-1247439299743","153811681056474","38429280039479","4613614685891","397","61495013857"
"0004","小型","20250814","5218.95","-27","-0.51","5245.95","44535705953333","-230435918433","44766141871766","3764641247112","853346499967","1183","26262379033"
"0028","TOPIX Core30","20250814","1599.55","-20.8","-1.28","1620.35","239768022266028","-3116911990225","242884934256254","799226740886761","149896975191339","30","115754078794"
"0029","TOPIX Large70","20250814","2959.95","-38.17","-1.27","2998.12","143131655150132","-1845877683207","144977532833338","204473793071617","48356098117239","70","54221531758"
"002A","TOPIX 100","20250814","2071.66","-26.86","-1.28","2098.52","382899677416160","-4962789673432","387862467089592","382899677416160","184827090488307","100","169975610552"
"002B","TOPIX Mid400","20250814","3142.61","-25.69","-0.81","3168.3","152564241756731","-1247439299743","153811681056474","38429280039479","48547021330263","397","61495013857"
"002C","TOPIX 500","20250814","2385.53","-27.67","-1.15","2413.2","535463919172891","-6210228973174","541674148146066","107739219149475","224463081381657","497","231470624408"
"002D","TOPIX Small","20250814","3535.15","-18.29","-0.51","3553.44","44535705953333","-230435918433","44766141871766","3764641247112","12597977653483","1183","26262379033"
"002E","TOPIX 1000","20250814","2893.21","-32.71","-1.12","2925.92","566780802941223","-6407572179886","573188375121109","57541198268144","195900162815906","985","247102883648"
"002F","TOPIX Small500","20250814","1561.81","-9.84","-0.63","1571.65","31316883768332","-197343206712","31514226975044","6417394214822","20051686568344","488","15632259239"
"0040","水産・農林業","20250814","621.07","0.58","0.09","620.49","449836025102","419210171","449416814931","6426228930023","72429180909","7","284274267"
"0041","鉱業","20250814","679.64","-9.12","-1.32","688.76","1673627825437","-22456273771","1696084099208","33472556508745","246252979781","5","771914089"
"0042","建設業","20250814","2229.33","-23.9","-1.06","2253.23","13754232709612","-147484036896","13901716746508","18097674617911","616968207393","76","4837726468"
"0043","食料品","20250814","2364.36","-21.24","-0.89","2385.6","16963152604522","-152406757589","17115559362112","23891764231722","717451813771","71","5827115271"
"0044","繊維製品","20250814","810.28","-8.33","-1.02","818.61","2205012200095","-22672083562","2227684283657","10500058095692","272130273331","21","1586448332"
"0045","パルプ・紙","20250814","556.93","0.83","0.15","556.1","794927439686","1192623445","793734816241","9936592996077","142732615529","8","882847100"
"0046","化学","20250814","2447.83","-9.74","-0.4","2457.57","27231922871106","-108345479264","27340268350370","22321248255005","11124909570489","122","11754137861"
"0047","医薬品","20250814","3458.14","-25.76","-0.74","3483.9","21460224094784","-159882938100","21620107032884","63118306161130","6205713125182","34","6473284706"
"0048","石油・石炭製品","20250814","1929","2.25","0.12","1926.75","2660899411395","3108001118","2657791410277","38012848734211","137941815950","7","2846636737"
"0049","ゴム製品","20250814","5007.85","-72.47","-1.43","5080.32","3794935364085","-54915614925","3849850979011","34499412400777","75779681012","11","802488348"
"004A","ガラス・土石製品","20250814","1483.16","-27.79","-1.84","1510.95","3638587060461","-68176392617","3706763453078","14554348241843","245326410030","25","1080976056"
