"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250818","3120.96","13.28","0.43","3107.68","591933037787063","2519223397823","589413814389240","35255094567425","18966352724491","1679","257730130867"
"0002","大型","20250818","3060.01","10.84","0.36","3049.17","392322314394876","1389583423725","390932730971151","392322314394876","12820945026875","100","169975610552"
"0003","中型","20250818","3353.91","18.28","0.55","3335.63","154736503002145","843225493024","153893277509121","38976449118928","4613615055099","397","61495023027"
"0004","小型","20250818","5260.77","33.58","0.64","5227.19","44874220390042","286414481074","44587805908968","3796465346027","852997115259","1182","26259497289"
"0028","TOPIX Core30","20250818","1645.2","4.26","0.26","1640.94","246611035125986","638959853016","245972075272970","822036783753288","149896975191339","30","115754078794"
"0029","TOPIX Large70","20250818","3013.3","15.53","0.52","2997.77","145711279268889","750623570708","144960655698181","208158970384127","48356098117239","70","54221531758"
"002A","TOPIX 100","20250818","2122.65","7.52","0.36","2115.13","392322314394876","1389583423725","390932730971151","392322314394876","184827090488307","100","169975610552"
"002B","TOPIX Mid400","20250818","3187.35","17.37","0.55","3169.98","154736503002145","843225493024","153893277509121","38976449118928","48547025215281","397","61495023027"
"002C","TOPIX 500","20250818","2437.19","9.95","0.41","2427.24","547058817397021","2232808916749","544826008480272","110072196659360","224463086455501","497","231470633578"
"002D","TOPIX Small","20250818","3563.48","22.75","0.64","3540.73","44874220390042","286414481074","44587805908968","3796465346027","12592819677502","1182","26259497289"
"002E","TOPIX 1000","20250818","2953.71","12.41","0.42","2941.3","578631651963264","2429896173707","576201755789557","58744330148555","195900165693701","985","247102891073"
"002F","TOPIX Small500","20250818","1574.57","9.83","0.63","1564.74","31572834566243","197087256958","31375747309285","6469843148820","20051684132558","488","15632257495"
"0040","水産・農林業","20250818","622.88","4.71","0.76","618.17","451147031245","3414575350","447732455894","6444957589209","72429180909","7","284274267"
"0041","鉱業","20250818","686.05","-4.34","-0.63","690.39","1689430013090","-10681935187","1700111948277","33788600261806","246252979781","5","771914089"
"0042","建設業","20250818","2243.49","-5.98","-0.27","2249.47","13841602442650","-36905053447","13878507496097","18212634792960","616968754875","76","4837735638"
"0043","食料品","20250818","2376.37","8.16","0.34","2368.21","17049338463941","58586242520","16990752221421","24013152766114","717451813771","71","5827115271"
"0044","繊維製品","20250818","820.99","6.43","0.79","814.56","2234164633169","17506460290","2216658172879","10638879205566","272130273331","21","1586448332"
"0045","パルプ・紙","20250818","563.44","3.96","0.71","559.48","804216831381","5650507526","798566323855","10052710392265","142732615529","8","882847100"
"0046","化学","20250818","2479.57","14.85","0.6","2464.72","27584991522351","165256118121","27419735404230","22610648788812","11124909570489","122","11754137861"
"0047","医薬品","20250818","3544.85","41.2","1.18","3503.65","21979624124777","255435919633","21724188205144","66604921590233","6200441389339","33","6470404706"
"0048","石油・石炭製品","20250818","1977.06","9.26","0.47","1967.8","2727191713852","12770916822","2714420797031","38959881626464","137941815950","7","2846636737"
