"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20251201","3338.33","-40.11","-1.19","3378.44","633678619867770","-7615071468409","641293691336180","37990324932121","18981932465688","1668","267773941069"
"0002","大型","20251201","3277.13","-39.24","-1.18","3316.37","429785272154922","-5147348357293","434932620512215","429785272154922","13114702134701","100","174939102751"
"0003","中型","20251201","3568.77","-46.64","-1.29","3615.41","158294089566403","-2068413034872","160362502601275","39872566641411","4435530849107","397","65814767105"
"0004","小型","20251201","5698.06","-49.9","-0.87","5747.96","45599258146446","-399310076243","45998568222689","3894044248202","800258674751","1171","27020071213"
"0028","TOPIX Core30","20251201","1731.83","-19.28","-1.1","1751.11","267854646739717","-2982011876923","270836658616640","864047247547473","154666065499274","31","117163361752"
"0029","TOPIX Large70","20251201","3322.76","-44.43","-1.32","3367.19","161930625415205","-2165336480370","164095961895575","234682065819138","48733736268301","69","57775740999"
"002A","TOPIX 100","20251201","2273.25","-27.23","-1.18","2300.48","429785272154922","-5147348357293","434932620512215","429785272154922","189061900904844","100","174939102751"
"002B","TOPIX Mid400","20251201","3391.55","-44.31","-1.29","3435.86","158294089566403","-2068413034872","160362502601275","39872566641411","46673124091000","397","65814767105"
"002C","TOPIX 500","20251201","2604.7","-31.96","-1.21","2636.66","588079361721325","-7215761392166","595295123113491","118325827308114","225776204633018","497","240753869856"
"002D","TOPIX Small","20251201","3859.69","-33.79","-0.87","3893.48","45599258146446","-399310076243","45998568222689","3894044248202","11814240641887","1171","27020071213"
"002E","TOPIX 1000","20251201","3158.5","-38","-1.19","3196.5","621521502887331","-7476884978040","628998387865371","62527314173776","196777389464530","994","257137434850"
"002F","TOPIX Small500","20251201","1701.63","-13.29","-0.77","1714.92","33442141166006","-261123585874","33703264751880","6728801039438","19653023298111","497","16383564994"
"0040","水産・農林業","20251201","726.47","-6.99","-0.95","733.46","515276763961","-4959488904","520236252866","7361096628020","70929098947","7","270681695"
"0041","鉱業","20251201","928.95","-28.06","-2.93","957.01","2301967908548","-69545480094","2371513388642","46039358170960","247803758257","5","808110172"
"0042","建設業","20251201","2630.03","-48.62","-1.82","2678.65","15817788531074","-292472982617","16110261513692","21668203467225","601431020982","73","4777797069"
"0043","食料品","20251201","2507.44","-25.07","-0.99","2532.51","18296134746009","-182882048671","18479016794680","25411298258345","729673457134","72","5924020411"
"0044","繊維製品","20251201","852.54","-10.69","-1.24","863.23","2264897405378","-28396040583","2293293445961","11324487026890","265664515430","20","1571146974"
"0045","パルプ・紙","20251201","594.46","-4.86","-0.81","599.32","875294232824","-7156244179","882450477003","10941177910297","147241542162","8","919112646"
"0046","化学","20251201","2532.93","-34.32","-1.34","2567.25","28459009154653","-385645779600","28844654934253","23137405816791","11235603142717","123","11932645966"
"0047","医薬品","20251201","3823.47","-55.25","-1.42","3878.72","23888953002107","-345231241426","24234184243532","72390766673050","6247983692754","33","6549988668"
"0048","石油・石炭製品","20251201","2319.6","0.24","0.01","2319.36","2995820696769","305300847","2995515395922","42797438525275","129152507703","7","2721844384"
"0049","ゴム製品","20251201","5650.89","-64.13","-1.12","5715.02","4288990083735","-48675730867","4337665814602","38990818943045","75899427854","11","805254822"
"004A","ガラス・土石製品","20251201","1751.93","-15.67","-0.89","1767.6","4306383057276","-38529274403","4344912331679","17225532229103","245808018082","25","1087143843"
"004B","鉄鋼","20251201","763.18","-8.17","-1.06","771.35","4953838266192","-53025691432","5006863957624","21538427244314","649103236397","23","5147400861"
"004C","非鉄金属","20251201","3271.92","-85.29","-2.54","3357.21","9962798135340","-259700598124","10222498733464","49813990676699","304493876162","20","1759068592"
"004D","金属製品","20251201","1613.39","-1.97","-0.12","1615.36","2829641774144","-3465805362","2833107579505","9432139247145","175385282263","30","1260858797"
"004E","機械","20251201","4161.85","-46.6","-1.11","4208.45","38274426348931","-428613845818","38703040194748","32713184913616","919650177468","117","9444612066"
