"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250704","2827.95","-1.04","-0.04","2828.99","535495695688240","-202371073343","535698066761582","31874743790967","18935826827270","1680","257053093025"
"0002","大型","20250704","2769.23","-2.75","-0.1","2771.98","355046173314544","-352815413934","355398988728478","355046173314544","12821102622950","100","169803670162"
"0003","中型","20250704","3043.47","1.3","0.04","3042.17","139461347758120","59479814315","139401867943805","35128802961743","4582317820523","397","60921896328"
"0004","小型","20250704","4795.34","11.2","0.23","4784.14","40988174615576","90964526277","40897210089299","3464765394385","854749725147","1183","26327526535"
"0028","TOPIX Core30","20250704","1479.46","0.62","0.04","1478.84","221765163565319","92376193327","221672787371992","739217211884398","149896336788919","30","115749087567"
"0029","TOPIX Large70","20250704","2756.13","-9.21","-0.33","2765.34","133281009749225","-445191607262","133726201356486","190401442498892","48358034272633","70","54054582595"
"002A","TOPIX 100","20250704","1920.94","-1.91","-0.1","1922.85","355046173314544","-352815413934","355398988728478","355046173314544","184829362397582","100","169803670162"
"002B","TOPIX Mid400","20250704","2892.33","1.24","0.04","2891.09","139461347758120","59479814315","139401867943805","35128802961743","48217698295284","397","60921896328"
"002C","TOPIX 500","20250704","2207.3","-1.31","-0.06","2208.61","494507521072664","-293335599619","494800856672284","99498495185647","224032930980644","497","230725566490"
"002D","TOPIX Small","20250704","3248.21","7.59","0.23","3240.62","40988174615576","90964526277","40897210089299","3464765394385","12618693505092","1183","26327526535"
"002E","TOPIX 1000","20250704","2676.38","-1.07","-0.04","2677.45","523300491782699","-211057381200","523511549163900","53073072188915","195525811127963","986","246346282095"
"002F","TOPIX Small500","20250704","1438.57","4.11","0.29","1434.46","28792970710035","82278218419","28710692491616","5888133069537","20015037361457","489","15620715606"
"0040","水産・農林業","20250704","587.36","4.82","0.83","582.54","425419672858","3488933944","421930738913","6077423897965","72429180909","7","284274267"
"0041","鉱業","20250704","606.36","1.17","0.19","605.19","1363989851108","2631035013","1361358816095","27279797022161","224947461393","5","708957286"
"0042","建設業","20250704","1989.91","2.32","0.12","1987.59","12295331171400","14325429715","12281005741684","16178067330789","617885293466","76","4844868555"
"0043","食料品","20250704","2280.83","3.54","0.16","2277.29","16339736545912","25354679147","16314381866766","23013713444947","716395312189","71","5808187193"
"0044","繊維製品","20250704","779.96","-4.58","-0.58","784.54","2122013452111","-12472457521","2134485909632","10104825962435","272067505496","21","1586053548"
"0045","パルプ・紙","20250704","530.82","2.91","0.55","527.91","760974891885","4160354445","756814537440","9512186148562","143359382066","8","885832100"
"0046","化学","20250704","2348.69","-3.99","-0.17","2352.68","26028109512126","-44206073526","26072315585652","21161064644005","11081960323250","123","11666170951"
"0047","医薬品","20250704","3317.56","10.6","0.32","3306.96","20823504283230","66582500601","20756921782629","61245600833029","6276746192123","34","6516858445"
"0048","石油・石炭製品","20250704","1696.21","2.39","0.14","1693.82","2339783948123","3304391620","2336479556503","33425484973188","137941815950","7","2846636737"
"0049","ゴム製品","20250704","4542.8","-16.43","-0.36","4559.23","3360703397910","-12157908660","3372861306569","30551849071906","73978718942","11","773310825"
"004A","ガラス・土石製品","20250704","1370.58","-8.19","-0.59","1378.77","3343343713978","-19978450153","3363322164131","13373374855911","243935867625","25","1068899404"
"004B","鉄鋼","20250704","671.71","-9.56","-1.4","681.27","4120158505911","-58647001102","4178805507013","17913732634394","613387830768","23","1915589926"
"004C","非鉄金属","20250704","1784.75","-21.34","-1.18","1806.09","5027226569502","-60110653230","5087337222732","25136132847509","281677454840","20","1622851567"
"004D","金属製品","20250704","1471.97","-9.32","-0.63","1481.29","2622427829537","-16608771735","2639036601273","8741426098458","178158283595","30","1264678563"
"004E","機械","20250704","3594.07","-21.5","-0.59","3615.57","32525032357621","-194556920677","32719589278298","27799172955232","904963287832","117","8646840597"
"004F","電気機器","20250704","4980.43","3.54","0.07","4976.89","94760769387943","67324693789","94693444694153","71788461657532","1902661096613","132","26926105073"
"0050","輸送用機器","20250704","4106.21","-38.03","-0.92","4144.24","36158147547023","-339656185667","36497803732690","84088715225635","880571552354","43","18196146345"
"0051","精密機器","20250704","10434.94","-98.13","-0.93","10533.07","10485277257031","-98600101641","10583877358672","38834360211226","100482390071","27","3247036845"
"0052","その他製品","20250704","7411.39","47.81","0.65","7363.58","17714487001842","114270177075","17600216824767","44286217504606","239017104106","40","3314615206"
"0053","電気・ガス業","20250704","519.94","6.66","1.3","513.28","6864294055139","87925413715","6776368641424","29844756761474","1320197272270","23","4455885913"
"0054","陸運業","20250704","2073.04","-3.94","-0.19","2076.98","12969195141840","-24644562784","12993839704624","35051878761730","625612460279","37","4997395693"
"0055","海運業","20250704","1762.49","-31.93","-1.78","1794.42","3229063236096","-58494970761","3287558206856","53817720601598","183210040702","6","876421371"
"0056","空運業","20250704","237.54","1.03","0.44","236.51","1962540467874","8499599047","1954040868827","98127023393700","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250704","3966.03","31.09","0.79","3934.94","877917570394","6883049954","871034520440","7315979753281","22135910461","12","352461644"
"0058","情報・通信業","20250704","6790.8","14.83","0.22","6775.97","43663500818009","95316342368","43568184475641","24808807282960","642980624144","176","71856354584"
"0059","卸売業","20250704","3831.64","-23.21","-0.6","3854.85","37088679409405","-224710722416","37313390131821","28529753391850","9679593036966","130","11380596720"
"005A","小売業","20250704","2063.84","3.4","0.17","2060.44","26249919357018","43237055120","26206682301897","17857087997971","12718947541038","147","8037363520"
"005B","銀行業","20250704","392.78","4.99","1.29","387.79","48352679458804","614143210751","47738536248053","71106881557065","123102768402806","68","22241424285"
"005C","証券、商品先物取引業","20250704","635.64","7.25","1.15","628.39","4826915425241","55032151612","4771883273629","26816196806892","7593807701120","18","4150269242"
"005D","保険業","20250704","2739.84","-28.66","-1.04","2768.5","17321556876049","-181194227232","17502751103280","192461743067206","6322101375086","9","5798835506"
"005E","その他金融業","20250704","1023.86","5.24","0.51","1018.62","6085357660865","31192503474","6054165157391","28977893623166","5943516508430","21","3430513161"
"005F","不動産業","20250704","2059.29","-19.64","-0.94","2078.93","9968552498112","-95070893302","10063623391414","20343984690024","484076817326","49","6204921385"
"0060","サービス業","20250704","3033.04","-0.63","-0.02","3033.67","23419086816345","-4932694328","23424019510673","14456226429842","772133535642","162","10477515946"
"0070","東証グロース市場250指数","20250704","710.59","0.88","0.12","709.71","2805996542867","3485540965","2802511001902","995034235059","3948830942229","282","3805086547"
"0075","REIT","20250704","1786.17","-0.86","-0.05","1787.03","14314340358627","-6820166935","14321160525562","25112877822153","8013967420023","57","12323035459"
"0080","TOPIX-17 食品","20250704","391.17","0.68","0.17","390.49","16765156218770","28843613091","16736312605679","21493790024064","4285951668559","78","6092461461"
"0081","TOPIX-17 エネルギー資源","20250704","208.75","0.33","0.16","208.42","3703773799231","5935426633","3697838372598","30864781660260","1774234403063","12","3555594023"
"0082","TOPIX-17 建設・資材","20250704","370.81","-0.45","-0.12","371.26","18261102714915","-22261792173","18283364507088","13939773064821","4924650543021","131","7178446522"
"0083","TOPIX-17 素材・化学","20250704","302.77","-0.55","-0.18","303.32","28911097856123","-52518176601","28963616032724","19020459115870","9548890692857","152","14138056599"
"0084","TOPIX-17 医薬品","20250704","256.47","0.82","0.32","255.65","20823504283230","66582500601","20756921782629","61245600833029","8119360527806","34","6516858445"
"0085","TOPIX-17 自動車・輸送機","20250704","307.04","-2.7","-0.87","309.74","39518850944933","-351814094326","39870665039259","73183057305431","12870727858476","54","18969457170"
"0086","TOPIX-17 鉄鋼・非鉄","20250704","319.94","-4.16","-1.28","324.1","9147385075412","-118757654332","9266142729745","21272988547471","2859059965966","43","3538441493"
"0087","TOPIX-17 機械","20250704","708.3","-4.24","-0.6","712.54","32525032357621","-194556920677","32719589278298","27799172955232","4591996369026","117","8646840597"
"0088","TOPIX-17 電機・精密","20250704","387.67","-0.12","-0.03","387.79","105246046644973","-31275407852","105277322052826","66192482166650","27148168402368","159","30173141918"
"0089","TOPIX-17 情報通信・サービスその他","20250704","410.58","0.99","0.24","409.59","84797074636196","204653825114","84592420811081","22433088528094","20652927767744","378","85648485736"
"008A","TOPIX-17 電力・ガス","20250704","86.1","1.1","1.29","85","6864294055139","87925413715","6776368641424","29844756761474","7972116313052","23","4455885913"
"008B","TOPIX-17 運輸・物流","20250704","206.15","-0.73","-0.35","206.88","19038716416204","-67756884544","19106473300748","33401256870533","9235574559947","57","6895499328"
"008C","TOPIX-17 商社・卸売","20250704","931.01","-5.64","-0.6","936.65","37088679409405","-224710722416","37313390131821","28529753391850","3983714294389","130","11380596720"
"008D","TOPIX-17 小売","20250704","358.53","0.59","0.16","357.94","26249919357018","43237055120","26206682301897","17857087997971","7321610666242","147","8037363520"
"008E","TOPIX-17 銀行","20250704","252.6","3.21","1.29","249.39","48352679458804","614143210751","47738536248053","71106881557065","19141957624532","68","22241424285"
"008F","TOPIX-17 金融（除く銀行）","20250704","285.37","-0.96","-0.34","286.33","28233829962154","-94969572146","28328799534300","58820479087821","9893698289491","48","13379617910"
"0090","TOPIX-17 不動産","20250704","430.74","-4.1","-0.94","434.84","9968552498112","-95070893302","10063623391414","20343984690024","2314305325224","49","6204921385"
"0099","東証インフラファンド指数","20250704","650.79","-0.43","-0.07","651.22","82935023985","-55093963","82990117948","1658700479700","127437610018","5","150386720"
"0503","JPXプライム150指数","20250704","1237.97","-2.66","-0.21","1240.63","317537202560255","-683607881726","318220810441980","214552163892064","256498777013054","148","143166636638"
"1000","TOPIX レバレッジ（2倍）指数","20250704","92143.5","-73.77","-0.08","92217.27","0","0","0","0","0","-","0"
"1001","TOPIX インバース（-1倍）指数","20250704","1575.8","0.63","0.04","1575.17","0","0","0","0","0","-","0"
"1002","TOPIX ダブルインバース（-2倍）指数","20250704","152.24","0.12","0.08","152.12","0","0","0","0","0","-","0"
"1003","JPX日経400 レバレッジ・インデックス","20250704","42887.37","-77.34","-0.18","42964.71","0","0","0","0","0","-","0"
"1004","JPX日経400 インバース・インデックス","20250704","2557.74","2.3","0.09","2555.44","0","0","0","0","0","-","0"
"1005","JPX日経400 ダブルインバース・インデックス","20250704","428.9","0.77","0.18","428.13","0","0","0","0","0","-","0"
"1006","東証REIT インバース（-1倍）指数","20250704","7979.49","3.99","0.05","7975.5","0","0","0","0","0","-","0"
"1007","東証REIT レバレッジ（2倍）指数","20250704","7384.67","-7.39","-0.1","7392.06","0","0","0","0","0","-","0"
"1008","東証REIT ダブルインバース（-2倍）指数","20250704","4962.61","4.96","0.1","4957.65","0","0","0","0","0","-","0"
"4030","TOPIX Micro Cap","20250704","12282.13","13.6","0.11","12268.53","12195203905541","8686307858","12186517597683","1757233992153","9929229046098","694","10706810930"
"5000","東証プライム市場指数","20250704","1455.36","-0.5","-0.03","1455.86","534934708934001","-188668114637","535123377048638","33041056759358","367561506910582","1619","255649265740"
"5001","東証スタンダード市場指数","20250704","1370.11","-0.95","-0.07","1371.06","11524755442862","-7944536162","11532699979024","736406098585","8411541990910","1565","13298959528"
"5002","東証グロース市場指数","20250704","918.51","2.15","0.23","916.36","3309850122357","7778720794","3302071401562","547082664852","3603480510492","605","5180738017"
"5003","東証プライム市場コンポジット指数","20250704","1455.06","-0.5","-0.03","1455.56","535077905405031","-188668114637","535266573519667","33009124330970","367736139437395","1621","255723342915"
"8000","旧東証株価指数","20250704","2924.68","-1.05","-0.04","2925.73","969164143656270","-394648242326","969558791898596","57688341884302","33137425728212","1680","473869904564"
"8100","TOPIX バリュー","20250704","3308.48","0.82","0.02","3307.66","275442449321966","67858686257","275374590635709","23402077257601","83253519468910","1177","143991203496"
"812C","TOPIX 500 バリュー","20250704","3203.94","-0.29","-0.01","3204.23","254556741873021","-23290705208","254580032578228","66637890542676","79451151774411","382","130611674456"
"812D","TOPIX Small バリュー","20250704","4526.54","19.76","0.44","4506.78","20885707448946","91149391465","20794558057481","2627133012446","4614059017545","795","13379529040"
"8200","TOPIX グロース","20250704","3430.38","-3.5","-0.1","3433.88","260052996950077","-270231262208","260323228212285","25545481036353","75808779568572","1018","113061833976"
"822C","TOPIX 500 グロース","20250704","3453.91","-3.88","-0.11","3457.79","239950529691738","-270046397481","240220576089219","91935068847409","69472240625698","261","100113836364"
"822D","TOPIX Small グロース","20250704","3209.47","0.74","0.02","3208.73","20102467258339","-184864728","20102652123066","2655543891458","6263484362644","757","12947997612"
"8500","東証配当フォーカス100指数","20250704","3069.38","-2.5","-0.08","3071.88","229036720726582","-186773712648","229223494439231","229036720726582","74619890633456","100","155427874703"
"8501","東証REITオフィス指数","20250704","1784.07","2.15","0.12","1781.92","6217180009805","7491670440","6209688339365","29605619094310","3484832343588","21","4835504480"
"8502","東証REIT住宅指数","20250704","2804.09","-10.03","-0.36","2814.12","1749649326418","-6255085594","1755904412012","17496493264180","623962901710","10","1487538743"
"8503","東証REIT商業・物流等指数","20250704","2150.15","-2.73","-0.13","2152.88","6347511022404","-8056751781","6355567774185","24413503932323","2952127342025","26","5999992236"
"8506","TOPIX Ex-Financials","20250704","2373.38","-3.68","-0.15","2377.06","457059007288382","-714040298686","457773047587068","29242418892411","192577575088635","1563","220067612055"
"8507","JPX日経インデックス400","20250704","25610.65","-23.3","-0.09","25633.95","369682169154584","-336371050124","370018540204708","93590422570781","144347064047064","395","180459402717"
"8508","JPX日経中小型株指数","20250704","20047.74","-12.24","-0.06","20059.98","6928032460286","-4230423655","6932262883941","3552837159121","3455767530783","195","4361558144"
"8801","東証グロース市場Core指数","20250704","884.59","-5.24","-0.59","889.83","5998968268","-35530195","6034498462","33327601487","6781621737","18","0"
"8802","東証スタンダード市場TOP20","20250704","1335.28","-0.78","-0.06","1336.06","12438622381","-7306125","12445928506","65466433582","9315384036","19","0"
"A128","TOPIX Core30 バリュー","20250704","14409.83","50.53","0.35","14359.3","95187466253299","333792107067","94853674146232","528819256962773","66057331654429","18","50079660389"
"A129","TOPIX Large70 バリュー","20250704","12918.39","-72.3","-0.56","12990.69","76348327299804","-427308573873","76775635873677","149702602548636","59100497798875","51","37724891814"
"A12B","TOPIX Mid400 バリュー","20250704","12223.12","10.34","0.08","12212.78","83020948319917","70225761598","82950722558319","26524264638951","67921263506944","313","42807122254"
"A228","TOPIX Core30 グロース","20250704","12477.04","-23.8","-0.19","12500.84","126577697312117","-241415913739","126819113225856","527407072133822","101448466717463","24","65669427179"
"A229","TOPIX Large70 グロース","20250704","11481.21","-3.6","-0.03","11484.81","56932432940546","-17884536455","56950317477001","149822191948805","49587499712483","38","16329635112"
